yyyymm,state,n_stocks
199903,Loose (NFCI le 0),8441
199904,Loose (NFCI le 0),8421
199905,Loose (NFCI le 0),8393
199906,Loose (NFCI le 0),8378
199907,Loose (NFCI le 0),8369
199908,Loose (NFCI le 0),8345
199909,Loose (NFCI le 0),8325
199910,Loose (NFCI le 0),8307
199911,Loose (NFCI le 0),8302
199912,Loose (NFCI le 0),8295
200001,Loose (NFCI le 0),8245
200002,Loose (NFCI le 0),8223
200003,Loose (NFCI le 0),8243
200004,Loose (NFCI le 0),8260
200006,Loose (NFCI le 0),8254
200007,Loose (NFCI le 0),8263
200008,Loose (NFCI le 0),8278
200009,Loose (NFCI le 0),8222
200010,Loose (NFCI le 0),8178
200011,Loose (NFCI le 0),8107
200012,Loose (NFCI le 0),8029
200101,Loose (NFCI le 0),7973
200102,Loose (NFCI le 0),7914
200103,Loose (NFCI le 0),7835
200104,Loose (NFCI le 0),7750
200105,Loose (NFCI le 0),7690
200106,Loose (NFCI le 0),7641
200107,Loose (NFCI le 0),7566
200108,Loose (NFCI le 0),7528
200109,Loose (NFCI le 0),7497
200110,Loose (NFCI le 0),7436
200111,Loose (NFCI le 0),7409
200112,Loose (NFCI le 0),7373
200201,Loose (NFCI le 0),7332
200202,Loose (NFCI le 0),7295
200203,Loose (NFCI le 0),7241
200204,Loose (NFCI le 0),7209
200205,Loose (NFCI le 0),7184
200206,Loose (NFCI le 0),7157
200207,Loose (NFCI le 0),7111
200208,Loose (NFCI le 0),7076
200209,Loose (NFCI le 0),7021
200210,Loose (NFCI le 0),7005
200211,Loose (NFCI le 0),6991
200212,Loose (NFCI le 0),6958
200301,Loose (NFCI le 0),6920
200302,Loose (NFCI le 0),6857
200303,Loose (NFCI le 0),6816
200304,Loose (NFCI le 0),6776
200305,Loose (NFCI le 0),6750
200306,Loose (NFCI le 0),6714
200307,Loose (NFCI le 0),6690
200308,Loose (NFCI le 0),6680
200309,Loose (NFCI le 0),6671
200310,Loose (NFCI le 0),6654
200311,Loose (NFCI le 0),6641
200312,Loose (NFCI le 0),6651
200401,Loose (NFCI le 0),6642
200402,Loose (NFCI le 0),6664
200403,Loose (NFCI le 0),6657
200404,Loose (NFCI le 0),6654
200405,Loose (NFCI le 0),6649
200406,Loose (NFCI le 0),6640
200407,Loose (NFCI le 0),6658
200408,Loose (NFCI le 0),6667
200409,Loose (NFCI le 0),6666
200410,Loose (NFCI le 0),6678
200411,Loose (NFCI le 0),6679
200412,Loose (NFCI le 0),6692
200501,Loose (NFCI le 0),6686
200502,Loose (NFCI le 0),6695
200503,Loose (NFCI le 0),6690
200504,Loose (NFCI le 0),6682
200505,Loose (NFCI le 0),6689
200506,Loose (NFCI le 0),6703
200507,Loose (NFCI le 0),6692
200508,Loose (NFCI le 0),6708
200509,Loose (NFCI le 0),6692
200510,Loose (NFCI le 0),6699
200511,Loose (NFCI le 0),6695
200512,Loose (NFCI le 0),6700
200601,Loose (NFCI le 0),6681
200602,Loose (NFCI le 0),6688
200603,Loose (NFCI le 0),6684
200604,Loose (NFCI le 0),6681
200605,Loose (NFCI le 0),6700
200606,Loose (NFCI le 0),6745
200607,Loose (NFCI le 0),6751
200608,Loose (NFCI le 0),6747
200609,Loose (NFCI le 0),6737
200610,Loose (NFCI le 0),6756
200611,Loose (NFCI le 0),6764
200612,Loose (NFCI le 0),6761
200701,Loose (NFCI le 0),6778
200702,Loose (NFCI le 0),6820
200703,Loose (NFCI le 0),6828
200704,Loose (NFCI le 0),6835
200705,Loose (NFCI le 0),6853
200706,Loose (NFCI le 0),6865
200707,Loose (NFCI le 0),6857
200710,Loose (NFCI le 0),6790
200911,Loose (NFCI le 0),5745
200912,Loose (NFCI le 0),5736
201001,Loose (NFCI le 0),5723
201002,Loose (NFCI le 0),5708
201003,Loose (NFCI le 0),5704
201004,Loose (NFCI le 0),5714
201005,Loose (NFCI le 0),5702
201006,Loose (NFCI le 0),5690
201007,Loose (NFCI le 0),5692
201008,Loose (NFCI le 0),5688
201009,Loose (NFCI le 0),5679
201010,Loose (NFCI le 0),5673
