quintile,r2_pooled_pct,r2_own_pct,delta_pp,N_train/month
Q1,0.5712671899831712,0.38406713172512985,-0.1872000582580413,2848
Q2,-0.15523071139151856,-0.19562800894217247,-0.04039729755065391,1282
Q3,-0.15830172037525347,-0.5450471538618329,-0.3867454334865794,1057
Q4,-0.12379418038397372,-1.2094074133996102,-1.0856132330156365,851
Q5,-0.14389935798022613,-1.8486237667841188,-1.7047244088038926,725
