yyyymm,Q1_cs,Q1_zero,Q2_cs,Q2_zero,Q3_cs,Q3_zero,Q4_cs,Q4_zero,Q5_cs,Q5_zero,Full_cs,Full_zero
200001,0.016992935673831755,0.04931155379778929,-0.01950860886178174,0.04762821908628445,-0.040420567518318906,0.030825463820868815,-0.06126076241174494,0.040857473926302124,-0.11013265625736857,0.03516033144145836,-0.036706149017704304,0.04065594387873328
200002,0.015370871330949165,0.013750199370655913,0.02496845600254871,0.023539673210006717,0.013475886179320828,0.011751680977872936,0.013781940731662057,0.01345472967970629,0.002337171451968878,0.009008124775160664,0.013159612445906466,0.01368614865712825
200003,-0.04685825041617875,-0.06878605548836636,-0.23244855316033886,-0.03978301883461133,-0.3116868458570723,-0.017379345189829865,-0.34621046039940384,-0.00636116075248494,-0.3383441376140075,-0.010558246755751899,-0.2411051935706221,-0.027649715601732128
200004,-0.09132052161784432,-0.048329704350960734,-0.12996370027098947,0.009186685762156532,-0.12995422620806862,0.0247138748132536,-0.12154233282761462,0.0339843811772047,-0.10864065660994693,0.018071162900579862,-0.11290214073564675,0.0037323153493716843
200005,0.052878869163702436,0.04105364803917144,-0.061751212271499156,0.007781812466899463,-0.12977648307947898,-0.010425585797614323,-0.14959898582239295,-0.02197641731264932,-0.13405063102778936,-0.009674579852179566,-0.08817126081666626,-0.001512495806614389
200006,-0.0043713628939534566,-0.0018093712577536003,0.0021771557264487207,0.01323856255181044,0.011098709364075643,0.01358335773061714,-0.02358585719722739,0.010898450443431074,-0.0744133838864065,-0.00742657214962672,-0.013880254193299857,0.004219005991291214
200007,0.02055621932172902,0.02723633268739234,-0.015803848400858467,0.013184565414456895,-0.07209212402856768,0.012621047248480233,-0.0834328040837391,0.021534018423972623,-0.17843785980679638,0.016743677928835465,-0.04146278236894063,0.020505719023444446
200008,-0.01146365417492623,0.00595874912148131,-0.06424138034234139,0.015476352641765279,-0.0650651602741752,0.008493777491532795,-0.05976531270471641,0.01509831012147711,-0.08166709115217996,0.011686518251200928,-0.04783173389870643,0.010366460678697842
200009,-0.19318877515995503,-0.03474606283964721,-0.14396665726988522,0.00840263334589797,-0.1250858096877585,0.020795009632841865,-0.13379366613397137,0.01696953487394981,-0.07323681154266293,0.0072277850974993285,-0.14637184953227456,-0.0029683231468145
200010,-0.26490463889792615,-0.01958317382501984,-0.24850495908936,0.03185802465319931,-0.2821442764663533,0.045608537489097545,-0.36643736316399056,0.031785546869027126,-0.5579805831053823,0.010290326418210705,-0.32034286306346105,0.013636913946587947
200011,-0.03458803681997025,-0.01386185659790784,0.023194840875316425,0.031052563059911997,0.05408298161619873,0.045084844533944235,0.056721202032860574,0.028693744853396153,0.05609854465050623,0.027180361247446938,0.008949802722408196,0.011510863139411853
200012,-0.1668207392986094,0.07561193434472091,-0.28601418445617965,0.022401332595411105,-0.26520772992733876,-0.00158442267817005,-0.0387031758102383,-0.012589034183522863,0.17553219004649412,-0.02161447122278659,-0.17631444702923194,0.04815999045675101
200101,-0.011483921575863532,0.02346605499714527,-0.10131986832016149,0.03854957152071348,-0.1877464854601194,0.06578332229579409,-0.24522444249251696,0.0505150693089047,-0.3140063066814587,0.02812488543457048,-0.11888553295471227,0.037140695846407445
200102,-0.10467576972644732,-0.01741009815882677,-0.19626012471416465,-0.016279923422985565,-0.20003419792801513,-0.005021463050059571,-0.24095000744350226,-0.016645757786835524,-0.49971012316126817,-0.09532989017073756,-0.17698778774793245,-0.022562155160640973
200103,0.06071871216980218,0.07771001043188508,0.018081928321826757,0.09340036856997092,-0.07928713993034742,0.05951635500546415,-0.14167107293876313,0.06070148434740996,-0.21256625807790552,0.059661626265334555,-0.011930076456285743,0.07375038644172127
200104,0.0060233085927192676,0.08245522370131042,-0.015548919032796205,0.08444764661118742,-0.03170430402301805,0.07538527558306485,-0.014770214307596286,0.022959757621213384,0.21272570878492403,0.019265758876376604,0.005609814591837514,0.0761005020179264
200105,-0.044584844926608413,-0.04589452469808308,-0.005098328377426853,-0.0023005160302169703,-0.0055219818745366744,-0.0006195042721746091,0.004793614717468309,0.010513928609211742,0.02071269635952766,0.011716055624255817,-0.021486214680283666,-0.020848353166293965
200106,-0.07245217852163055,-0.07409020016555057,-0.06839877154566576,-0.029533806326758283,-0.04886416256087478,0.01687184521685403,-0.09890552372089823,-0.011495474627652102,-0.14378741428681074,-0.03538424545761343,-0.0758166454195599,-0.044740571636950666
200107,-0.0642299953147818,-0.04734366916168464,-0.0036838244244181695,0.03713683688278757,-0.05234020685099661,-0.0061934983033054,-0.12077486234881185,-0.016094911560365244,-0.30178514373870513,-0.011235670129200681,-0.06689534590787116,-0.024559585876603007
200108,-0.38600754300860385,-0.07550712974529783,-0.5634821575932942,-0.03518600916975356,-0.8093661847660387,-0.04248660000523796,-0.905249643949309,-0.039147337590120124,-0.9818003808330751,-0.05329224437307589,-0.5621421612437645,-0.05718414482302392
200109,0.02917570123986979,0.07360044566572455,-0.03790658243914513,0.0526443990905795,-0.051268235457611055,0.04362653490571655,-0.13518252465798186,0.023606045111067897,-0.08138614648446385,0.049862527595795014,-0.014292421457944737,0.059643597257193925
200110,0.002677773447619547,0.05716032788833558,-0.12460440071423795,0.030690867389823406,-0.12489372282575473,0.04759196459182835,-0.23185313265646035,0.02914767507297289,-0.4164723422787211,0.01879213248115097,-0.07836298569675604,0.04585344996207619
200111,0.01689060301316625,0.0451404262841657,-0.14522555867054288,0.006493285675865712,-0.2055802706070482,0.004070909554215962,-0.23570419009329613,0.009864320458609854,0.010249716666348885,0.04970231190859009,-0.048184616256215396,0.031294989948523644
200112,0.03557247744204617,0.06235081351147442,0.021874601896029633,0.010043573674221706,0.07662711018184154,0.045994320016021106,0.04107194756281374,-0.00851615140873907,0.06840127798446771,0.013462960701565163,0.04006727876598337,0.04676598149522837
200201,-0.14737708606584654,-0.12635251855448715,-0.16094399741440246,-0.10091918810618239,-0.19939429142606135,-0.11993027518702215,-0.15602379041810788,-0.08077734850471252,-0.12883462021779013,-0.014405494079165138,-0.15636545192270734,-0.10632898229103116
200202,-0.026559939400625288,0.04867332548966752,-0.1372617420273774,0.06437444776075307,-0.3148724456554046,0.031066027929990248,-0.31884967028936617,0.05666408202250106,-0.31620069216757485,0.019547310478892133,-0.10577784761433451,0.047668343171480165
200203,-0.023574367242209293,-0.025850875771860515,-0.011192182390878935,-0.013943382320630082,-0.02108814193689912,-0.019934097858783195,-0.01875555744571633,-0.010055352614428026,-0.014184440872602622,0.009537286438065617,-0.02041639602326817,-0.01974672036198899
200204,-0.030262645961370627,-0.038334397679462784,-0.06776128765155232,-0.03300381027718147,-0.023784553670338715,0.004100807921857075,-0.10747439701302253,-0.052382705571493826,-0.07622617784496422,-0.010934212420672607,-0.04270979699542132,-0.032872193857645504
