model,SR_1A,SR_1B,SR_2A,SR_2B,training_effect,portfolio_effect,total_effect,interaction,training_share,h1_pval,h3_total_effect,h3_pval
xgboost,0.17490064081032192,0.15721617079648811,0.3219055563404668,0.32797885030446855,0.1470049155301449,-0.017684470013833803,0.15307820949414663,0.02375776397783555,0.9603255487239418,0.8702259548090382,0.15307820949414663,0.8744251149770046
random_forest,0.18358281784761582,0.20831771726067413,0.17073984919473717,0.18812071556422705,-0.01284296865287865,0.024734899413058314,0.004537897716611228,-0.0073540330435684365,-2.8301582483594214,0.45930813837232554,0.004537897716611228,0.5380923815236952
neural_network,0.5725705351880448,0.5176962482178868,0.36130927582614947,0.29660711997038813,-0.21126125936189533,-0.05487428697015795,-0.27596341521765666,-0.009827868885603386,0.7655408206746183,0.2523495300939812,-0.27596341521765666,0.11197760447910418
