model,factor_model,cell,alpha_annual,alpha_tstat,alpha_pval
xgboost,capm,1A,0.18692249598027527,4.18204599125635,2.8889750996536247e-05
xgboost,capm,1B,0.1754012004693628,3.88073740819391,0.00010414023309420266
xgboost,capm,2A,0.17762964146856494,3.7225501357820368,0.00019722073137087165
xgboost,capm,2B,0.16840631143149418,3.564142004912007,0.00036504829771312816
xgboost,ff3,1A,0.18405912559395257,4.297047799895524,1.7308788130106473e-05
xgboost,ff3,1B,0.17304086009554687,3.9545493801852554,7.66790343553763e-05
xgboost,ff3,2A,0.17377181616520124,3.7923152027134805,0.0001492493077696779
xgboost,ff3,2B,0.16524321018476398,3.604637826641448,0.0003125885296552191
xgboost,ff5,1A,0.1612756587228899,3.7522731485537677,0.0001752383799226239
xgboost,ff5,1B,0.1508904404806507,3.4309462266046125,0.0006014798188531267
xgboost,ff5,2A,0.15219573411972964,3.1882729154268343,0.0014312537995449732
xgboost,ff5,2B,0.14412308696607848,3.0224026595435327,0.002507767222223443
