yyyymm,R2_std,R2_wt
200001,-0.0050226251148548,0.0077065679718544
200002,-7.809010356485402e-05,0.0070704946837439
200003,0.0214369335043236,-0.0099574771780326
200004,-0.026332495057493,-0.0141456834491198
200005,0.0025602624782633,0.019881801905901
200006,0.000958230961606,-0.02449107097117
200007,0.0214275540298055,0.023123086232803
200008,-0.0200020535316023,-0.020158254739244
200009,-0.0217153167574335,-0.0151012119348925
200010,-0.0122562650627022,-0.0290592936637903
200011,-0.0125220451115219,-0.0172025743012322
200012,0.0139722301331323,0.0231171677169426
200101,0.0169631484608583,0.0173601108204888
200102,-0.0222272130597016,0.0075954332628105
200103,0.0093219002792346,0.0054266444223545
200104,0.0195074733219203,0.0254103639257685
200105,0.0053044522687655,0.0027504537103354
200106,0.0050690916490648,0.0063982930600368
200107,-0.0219520079961363,0.0007418322096696
200108,0.0106497414711351,-0.0050045711038075
200109,0.015851574031135,0.0011670457754437
200110,0.0120258049815731,0.0019718111223652
200111,0.0030376262927576,-0.0084039817757419
200112,0.0443595284218524,0.0336630532190675
200201,0.0003719592312114,-0.0072693329137307
200202,0.0040757016342659,0.0031336260184448
200203,0.0195184377590882,0.0169227953466394
200204,0.0179803162589378,-0.0239504977839155
200205,-0.0122295741011635,-0.0557890006683496
200206,0.0258826201060046,0.0199582963103261
200207,0.0165351087590948,0.0109457263695279
200208,0.0365387969822933,0.0249808191246856
200209,-0.0002003875100191,-0.0041471779787631
200210,-0.0114901050265117,-0.0150840710448116
200211,0.0084207421876935,0.0255013363947852
200212,0.0380964234286185,0.0309863104029251
200301,0.0030769950494521,0.0090232695622786
200302,0.0028266219762069,0.002273848337656
200303,-0.0140998302210288,-0.0096311738749053
200304,0.0120194341089235,0.002994081711408
200305,0.0068062144894404,0.0034276867802163
200306,0.0239157106218635,0.0147664564752361
200307,0.0082545509183455,0.0119140156946695
200308,0.0124578114515194,0.0127529746056946
200309,0.0115899192446913,0.0101348066619033
200310,0.0122368978846989,0.0215023227874743
200311,-0.0091146805430506,-0.0231657921840717
200312,0.0247341550713995,0.0290433967566663
200401,-0.0056313880025651,0.0026395167964154
200402,-0.0100555276100344,-0.0064916714966742
200403,0.0130272162885497,-0.0323521444722143
200404,-0.0189880645116038,-0.0371524728055481
200405,-0.001328109010839,-0.0072577814178547
200406,-0.0415166812568039,-0.0211285332773465
200407,-0.0161338715769971,-0.0434235628039898
200408,-0.0254435981894536,-0.01376681225283
200409,0.00081477249075,0.0050680378668254
200410,0.0064912320089929,-0.010283239503062
200411,-0.0073906271954315,0.0120453096886736
200412,-0.0039433291685011,-0.0150208881542945
200501,-0.0173090478413222,-0.0039277664412689
200502,-0.0029860531469094,-0.0124238455238199
200503,-0.012623242635708,-0.0221679622768116
200504,-0.0027463467094754,-0.0118331984875517
200505,0.0099798984222189,0.0031429736717897
200506,-0.0216918925336109,-0.0268226323591396
200507,-0.0222256840247838,-0.006822753841847
200508,-0.0042992900871179,-0.0115457530693234
200509,-0.0160529542427962,-0.0374902835546724
