yyyymm,alpha
200001,0.0001
200101,0.01
200201,0.0001
200301,0.0001
200401,0.01
200501,0.01
200601,0.01
200701,0.01
200801,0.01
200901,0.01
201001,0.01
201101,1e-05
201201,0.01
201301,0.01
201401,0.01
201501,0.001
201601,0.01
201701,0.01
201801,0.01
201901,0.001
202001,0.001
202101,0.001
202201,0.01
202301,1e-05
202401,0.0001
