model,r2_q45_pct,r2_q4_pct,r2_q5_pct,r2_full_pct
Mall,-0.13239043755095548,-0.12379418038397372,-0.14389935798022613,0.2477164125012199
MQ2+,-0.2958105881594175,-0.29984352678962267,-0.2904111720077651,-0.48840782487211687
MQ3+,-0.5809259600856542,-0.602468436317638,-0.55208426305553,-0.853873256473836
MQ4+,-0.9422822876492543,-1.0058611694182096,-0.8571610218416126,-1.1017653090491741
MQ5+,-1.9513915938436766,-2.185451800344662,-1.6380249460160146,-2.0961446046595444
