ret_long,ret_short,ret_long_short,n_long,n_short,yyyymm,turnover
0.21568830980138318,0.2581439062337617,-0.042455596432378534,152,152,200001,0.0
-0.03749962610385483,-0.03633375033841909,-0.0011658757654357393,153,153,200002,3.3271841889130744
-0.030305270417080997,-0.2025016684213024,0.1721963980042214,150,150,200003,3.4788179590304837
-0.10033716780203109,-0.11162662030605648,0.011289452504025396,154,154,200004,3.084189375457905
0.18768339310855003,0.14356310993306892,0.04412028317548111,153,153,200005,2.8720687821718087
-0.03825841968603166,-0.062372282682032334,0.024113862996000678,155,155,200006,3.175533346268461
0.19228498614388534,0.06044922690697925,0.1318357592369061,155,155,200007,2.8462624739206457
-0.0537162372002685,-0.07230306397899275,0.018586826778724246,154,154,200008,2.4345877405649965
-0.06941109967546827,-0.11381993716505392,0.044408837489585656,153,153,200009,2.839652678197687
-0.2051083734721469,-0.16657847727791059,-0.0385298961942363,154,154,200010,2.742173532249475
0.03748324827410063,-0.013463540639462299,0.050946788913562926,153,153,200011,2.588502592998411
0.18875110344215942,0.28704151943221806,-0.09829041599005864,149,149,200012,2.8434481341596873
-0.06398847607590263,-0.2201654441599284,0.15617696808402576,150,150,200101,2.8703685057662724
-0.051196022677472974,-0.12197379422651633,0.07077777154904336,150,150,200102,2.732305192658826
0.11968584469447824,0.12607103088221716,-0.006385186187738923,142,142,200103,2.6410453996779966
0.09398065380053659,-0.005684580430556933,0.09966523423109352,147,147,200104,2.635177717412912
0.043032004592578124,-0.040516542441880965,0.08354854703445909,147,147,200105,2.7372317293660453
-0.05785365214460999,-0.0946051296207259,0.03675147747611591,148,148,200106,2.92624460637973
-0.023137368539776892,-0.11311780251688364,0.08998043397710674,148,148,200107,2.8485419222282977
-0.1283830262454521,-0.25380040157593275,0.12541737533048067,147,147,200108,2.615221313571774
0.15925893677376485,0.15670609317744316,0.0025528435963216856,147,147,200109,2.7502958735267953
0.1164172673808443,0.13961579597845847,-0.023198528597614163,148,148,200110,2.750498359453255
0.04936891100782295,0.07187216027028899,-0.022503249262466038,148,148,200111,2.464179488797061
0.016540510155785164,-0.05678829491451344,0.0733288050702986,144,145,200112,2.396948578684166
-0.07755207761493457,-0.11958522881401176,0.04203315119907719,146,146,200201,2.5150635038121463
0.10467770161917231,0.11467584746269499,-0.009998145843522682,146,146,200202,2.4184148003105053
0.024082228716698732,-0.08465619867009473,0.10873842738679346,139,139,200203,2.4648144493580606
-0.010524991937731078,-0.05109675849882017,0.040571766561089094,145,146,200204,2.460127649713863
-0.057045832130563565,-0.1407250510111307,0.08367921888056713,147,147,200205,2.3847807031703456
-0.14650866838382193,-0.2160763700179552,0.06956770163413328,148,148,200206,2.522540939698602
0.03858568303657,-0.019578126181570524,0.05816380921814052,148,148,200207,2.954657816156064
-0.1116380240194314,-0.14173867019319125,0.03010064617375985,148,148,200208,2.6932368175208294
0.09909286862884881,0.16037865898138096,-0.06128579035253215,146,146,200209,2.8047857841117456
0.13413738986491372,0.3334827014819213,-0.19934531161700755,146,146,200210,2.643386953544585
-0.07225975448911734,-0.13507439534801574,0.0628146408588984,145,145,200211,2.6885878747540826
-0.03442337213698059,-0.05462040874894246,0.02019703661196187,142,142,200212,3.1079048578365525
-0.034126961746752664,-0.016581298415351782,-0.017545663331400882,143,143,200301,2.896975670987575
0.00026941777310728185,-0.02294991560977964,0.023219333382886922,142,142,200302,2.5686743701694685
0.15752337006151987,0.11248039708235665,0.04504297297916322,138,138,200303,2.886988775281333
0.14694776740744858,0.18383888308647778,-0.036891115679029196,141,142,200304,2.5517854445645733
0.031481587969778214,0.027402790074123204,0.0040787978956550106,142,142,200305,2.620422000828297
0.10150208565353883,0.0438273645959342,0.05767472105760463,142,142,200306,2.8763078385688075
0.09498912750200217,0.06571980973773942,0.029269317764262753,142,143,200307,2.1306968921671654
-0.010554225187961182,-0.01913458545786292,0.008580360269901739,142,142,200308,2.1493982267324827
0.15010002611175247,0.08393012657132423,0.06616989954042823,142,142,200309,2.1484195142905222
0.06414777440322011,0.00818562077125051,0.0559621536319696,144,144,200310,2.1112362872254664
-0.015272398550769029,0.003456363159666704,-0.018728761710435735,143,143,200311,2.338378826285852
0.07403012661455408,0.015003327214635452,0.059026799399918624,141,141,200312,3.436403149099415
-0.017058549328454114,0.01646785795406192,-0.03352640728251603,142,142,200401,3.1088230050071353
-0.019366235567492993,-0.011692756163578137,-0.007673479403914855,142,142,200402,2.3814603762300957
-0.10592617564698806,-0.07313309634436246,-0.032793079302625594,139,139,200403,2.365358250128117
0.028183060722804815,0.008148682899221446,0.020034377823583367,141,142,200404,2.8711070506674226
0.03962324937143294,0.034531188113194757,0.005092061258238183,142,142,200405,2.776472314332433
-0.07920347985310405,-0.13974483327870912,0.06054135342560507,141,141,200406,3.28215549979885
-0.05334723690029804,-0.04357429595460427,-0.009772940945693767,142,142,200407,3.0800444060572403
