quintile,r2_pooled_pct,r2_own_pct,delta_pp,n_predictions
Q1,0.5712671899831712,0.38174066314289323,-0.18952652684027793,729104
Q2,-0.15523071139151856,-0.3651748759720963,-0.20994416458057774,377396
Q3,-0.15830172037525347,-0.4225757799978025,-0.264274059622549,314188
Q4,-0.12379418038397372,-0.8758614790278951,-0.7520672986439214,249102
Q5,-0.14389935798022613,-1.6380249460160146,-1.4941255880357884,222134
