yyyymm,state,n_stocks
199409,Low VIX,8087
199410,Low VIX,8124
199411,Low VIX,8128
199412,Low VIX,8137
199501,Low VIX,8130
199502,Low VIX,8124
199503,Low VIX,8137
199504,Low VIX,8152
199505,Low VIX,8150
199506,Low VIX,8185
199507,Low VIX,8213
199508,Low VIX,8261
199509,Low VIX,8267
199510,Low VIX,8304
199511,Low VIX,8349
199512,Low VIX,8399
199601,Low VIX,8404
199602,Low VIX,8434
199604,Low VIX,8567
199605,Low VIX,8661
199606,Low VIX,8723
199608,Low VIX,8815
199609,Low VIX,8829
199611,Low VIX,8966
200008,Low VIX,8278
200203,Low VIX,7241
200310,Low VIX,6654
200311,Low VIX,6641
200401,Low VIX,6642
200402,Low VIX,6664
200403,Low VIX,6657
200404,Low VIX,6654
200405,Low VIX,6649
200406,Low VIX,6640
200407,Low VIX,6658
200408,Low VIX,6667
200409,Low VIX,6666
200410,Low VIX,6678
200411,Low VIX,6679
200412,Low VIX,6692
200501,Low VIX,6686
200502,Low VIX,6695
200503,Low VIX,6690
200504,Low VIX,6682
200505,Low VIX,6689
200506,Low VIX,6703
200507,Low VIX,6692
200508,Low VIX,6708
200509,Low VIX,6692
200510,Low VIX,6699
200511,Low VIX,6695
200512,Low VIX,6700
200601,Low VIX,6681
200602,Low VIX,6688
200603,Low VIX,6684
200604,Low VIX,6681
200605,Low VIX,6700
200606,Low VIX,6745
200607,Low VIX,6751
200608,Low VIX,6747
200609,Low VIX,6737
200610,Low VIX,6756
200611,Low VIX,6764
200612,Low VIX,6761
200701,Low VIX,6778
200702,Low VIX,6820
200703,Low VIX,6828
200704,Low VIX,6835
200705,Low VIX,6853
200706,Low VIX,6865
201003,Low VIX,5704
201104,Low VIX,5639
201105,Low VIX,5627
201106,Low VIX,5615
201203,Low VIX,5577
201204,Low VIX,5574
201206,Low VIX,5545
201208,Low VIX,5521
201209,Low VIX,5483
201211,Low VIX,5479
201301,Low VIX,5467
201302,Low VIX,5466
201303,Low VIX,5448
201304,Low VIX,5447
201305,Low VIX,5469
201306,Low VIX,5473
201307,Low VIX,5492
201308,Low VIX,5503
201309,Low VIX,5516
201310,Low VIX,5521
201311,Low VIX,5542
201312,Low VIX,5553
201402,Low VIX,5570
201403,Low VIX,5598
201404,Low VIX,5619
201405,Low VIX,5634
201406,Low VIX,5655
201407,Low VIX,5689
201408,Low VIX,5695
201409,Low VIX,5699
201410,Low VIX,5718
201411,Low VIX,5736
201502,Low VIX,5730
201503,Low VIX,5724
201504,Low VIX,5738
201505,Low VIX,5751
201507,Low VIX,5799
201510,Low VIX,5789
201511,Low VIX,5787
201603,Low VIX,5722
201604,Low VIX,5703
201605,Low VIX,5702
201606,Low VIX,5684
201607,Low VIX,5684
201608,Low VIX,5656
201609,Low VIX,5666
201610,Low VIX,5669
201611,Low VIX,5684
201612,Low VIX,5687
201701,Low VIX,5685
201702,Low VIX,5666
201703,Low VIX,5666
201704,Low VIX,5675
201705,Low VIX,5671
201706,Low VIX,5687
201707,Low VIX,5708
201708,Low VIX,5687
201709,Low VIX,5675
201710,Low VIX,5684
201711,Low VIX,5701
201712,Low VIX,5704
201801,Low VIX,5711
201804,Low VIX,5708
201805,Low VIX,5713
201806,Low VIX,5738
201807,Low VIX,5749
201808,Low VIX,5755
201809,Low VIX,5761
201901,Low VIX,5724
201902,Low VIX,5715
201903,Low VIX,5708
201904,Low VIX,5728
201906,Low VIX,5757
201907,Low VIX,5777
201909,Low VIX,5761
201910,Low VIX,5762
201911,Low VIX,5775
201912,Low VIX,5776
202105,Low VIX,6515
202106,Low VIX,6593
202108,Low VIX,6731
202110,Low VIX,6841
202112,Low VIX,6995
202304,Low VIX,6847
202306,Low VIX,6782
202307,Low VIX,6758
202308,Low VIX,6748
202309,Low VIX,6724
202311,Low VIX,6653
202312,Low VIX,6670
202401,Low VIX,6657
202402,Low VIX,6631
202403,Low VIX,6620
202404,Low VIX,6612
202405,Low VIX,6607
202406,Low VIX,6590
202407,Low VIX,6581
202408,Low VIX,6575
202409,Low VIX,6602
202411,Low VIX,6606
