quintile,gross_sr_std,gross_sr_wt,net_sr_std,net_sr_wt
Q1,1.052555467479648,-0.12408992021144782,-3.5620345724792437,-3.5413908611566964
Q2,0.7640503624052418,0.07953731245198147,-2.638344988442951,-2.3731266243380045
Q3,0.4716123961552583,0.11223113660322767,-1.4938505827030144,-1.7799169197223303
Q4,0.2805334274213387,0.002678579860689711,-1.1347314184445187,-1.2764760615334743
Q5,0.20033442051177697,-0.08001164486886851,-0.7837853077680667,-0.9645593504923705
