yyyymm,R2_std,R2_wt
200001,0.030074717727332168,0.048705378785985576
200002,-0.22988006946720163,-0.15811325292270362
200003,0.037579626878985306,0.004602569519646549
200004,-0.02681002194013793,-0.03510637522903148
200005,0.05316688317796647,0.0798661477621847
200006,-0.017246859179457674,-0.040341850829603176
200007,0.015686566803276958,0.009800443894250721
200008,-0.014877277530339406,-0.0160945687996199
200009,-0.034110231769174826,-0.021420686995059945
200010,-0.031772536211979396,-0.04211861549446527
200011,-0.06202615589367144,-0.052540777030331665
200012,0.08760603992033833,0.08478193465300488
200101,-0.1304907539571709,-0.05885833061287915
200102,-0.16002041756829488,-0.2134395319976834
200103,0.07429321930229615,0.07309559398516896
200104,0.060840583183848884,0.04990561262434923
200105,0.014946075763003996,0.007365768319506305
200106,-0.32060376231428855,-0.41080547755335073
200107,0.05900995218078342,0.024553252151717886
200108,-0.03051600066026028,0.03079623488845329
200109,-0.10098787501762163,-0.08491781890539851
200110,-0.0988849718383431,-0.10689865222192219
200111,-0.16897052674426805,-0.13014308479374548
200112,-0.011979040064304725,-0.03488884592257335
200201,0.08904667777201125,0.09439212034684596
200202,-0.26056154464346726,-0.20970248007965675
200203,0.03649055505324372,0.02531726499954068
200204,0.05244390919266162,0.04385626678491217
200205,0.0642236559046011,-0.12046130994705218
200206,-0.08554411615880086,0.032122489471910654
200207,-0.012881882466982741,0.007826018960589654
200208,-0.19845657462924704,0.005121410770147272
200209,-0.08543727871147011,-0.04441422388298122
200210,-0.10095245148589149,-0.06926102331045891
200211,0.09055322545229572,0.12781094350394384
200212,0.014459908428599122,0.0020680709944951303
200301,-0.09452146743024303,-0.011876682417298667
200302,0.017078574141972225,0.00435419354657951
200303,-0.018962309953441725,0.023191217850205947
200304,-0.31657633371048766,-0.09093766595685215
200305,-0.02126098246715502,-0.013490195788231851
200306,-0.01640281653486153,0.006776148828675055
200307,0.0019303490702834436,0.003098808097354522
200308,0.019886101134494738,0.0046788981086884895
200309,0.0686441802157971,0.029778861247786392
200310,-0.010436670031894524,0.003118152772460192
200311,0.0013642998397999095,-0.002571213818685525
200312,0.07026602403731186,0.024733068242871692
200401,-0.0017754420617142053,-0.003300263571959894
200402,0.005577724855046484,0.0006477041461349087
200403,-0.004316901299660003,0.007015429764496095
200404,-0.004928901142985387,-0.0016376663231678634
200405,-0.0026482702334302832,0.002488275374290083
200406,-0.009911867832773424,-0.010895330204334641
200407,-0.01499557789728323,-0.015890957810288597
200408,0.010201187437534065,0.01733836876788819
200409,-0.005979824954185364,-0.0004657065197333221
200410,0.027266541781733267,0.023446425152164108
200411,0.03186315744266832,0.02399956937909875
200412,-0.04707013416794248,-0.04831120561438862
200501,-0.011766665466656612,-0.008692543719639234
200502,-0.0548435349726053,-0.03742859964312051
200503,-0.07078595472518656,-0.06620901665734169
200504,0.015044597255832515,0.014418771000418884
200505,0.010226479185234227,0.009252105435915703
200506,0.0367088688609023,0.026957496703724715
200507,-0.0111933016433583,-0.00865339638729723
200508,-0.0009815152688046336,-0.003408936664581308
200509,-0.021192099906854,-0.010139245363230076
200510,0.0028447851665229784,0.006540337845533539
200511,-0.00035705228528648547,-0.005308096145633545
200512,0.030611555458767814,0.024127427775584187
200601,-0.007148739493652023,-0.005258552858415477
200602,0.04818811018822544,0.0446293012193022
200603,-0.033822080110158526,-0.031905167863769845
200604,-0.005126219997060089,0.06485702325260423
200605,-0.01258460818716034,-0.045104516588297505
200606,-0.03313476389302794,-0.046753312906950395
200607,0.0006611220112060501,-0.0093548342312475
200608,-0.009101018160663221,-0.012823663156701581
200609,0.008498403301046342,0.009137005586307034
200610,0.010728996252361123,0.008881975300583766
200611,-0.022572752117574924,-0.017065623477555913
200612,0.011043974881479568,0.009994619690942286
200701,0.0062484993758809,-0.009704820795739977
200702,-0.21155293360827443,-0.42267123332243584
200703,-0.0692423247437437,-0.17990911184663183
200704,-0.0029533794254508194,-0.005905890120259549
200705,-0.0048834631249921046,-0.010494412818426335
200706,-0.012203547467677822,-0.02253050409521662
200707,-0.0014209419661830314,0.012599707925026737
200708,-0.0036688890165856858,-0.006079673543464947
200709,0.006558619154344192,-0.00010520570102467985
200710,-0.013532896160522112,-0.00675392180555523
200711,-0.010096845910018803,-0.004083098011280706
200712,0.017612672022661036,0.025183918304412467
200801,-0.21756619361802376,-0.032337244271751775
200802,-0.12238615749186965,-0.043399392489571476
200803,-0.03698334792665148,-0.005804551655560264
200804,0.024682908145997162,0.015465790131756196
200805,-0.1614771454076669,-0.049990966029310746
200806,-0.09549848866496213,-0.04754526211061871
200807,-0.041540341669449754,0.0032416866678590672
200808,-0.08852810080468076,0.018115028809261302
200809,-0.09213509666564712,-0.022311205703478
200810,-0.045941124866568206,-0.02437507512587822
200811,0.015185928582749253,0.0019458374279316404
200812,-0.012655031148451679,-0.020517200844965666
200901,-0.08967215729391587,-0.07251806472500122
200902,-0.06956718552348962,-0.020700634777166105
200903,-0.060121467524719474,-0.03609468936088023
200904,-0.051338166794215434,-0.022615446437475484
200905,0.001055374101423756,-0.012464456838466864
200906,0.0303880400327734,-0.016761556412582035
200907,0.11193262301264006,0.00313085828398052
200908,0.06736069733562045,0.030264564115622172
200909,0.06743397710818644,0.07557214745285135
200910,-0.08257670658502358,-0.04119218923731749
200911,-0.11001480089992244,-0.04250253421106209
200912,0.05159169481592207,0.009456999169487612
201001,-0.03294978312575347,-0.04117553637604021
201002,-0.09638706493653082,-0.15194139005361906
201003,-0.035603066794676286,-0.0888413265311061
201004,-0.022856212509053897,0.012120478907746812
201005,-0.04243446266250328,-0.0008448924004684777
201006,0.014873814226436965,-0.03091734197578555
201007,-0.043412019266534596,0.007454519333362608
201008,0.02832721797696991,-0.0002618548750932259
201009,0.01450151416067269,0.0014285944396469352
201010,0.0038695294883922537,0.0033804657001027527
201011,0.01999718001372397,-0.00967106329872558
201012,0.008643286476622047,-0.0011776294044132385
201101,0.0027023713138333294,-0.008563664019462847
201102,-0.0005299664740177068,0.0010274143533292035
201103,-0.0034894740610016406,-0.005520807273391215
201104,-0.017526033931227314,0.0034827649897641866
201105,-0.016341576744004938,0.00994301471490977
201106,0.006291913122110304,0.026985769049260977
201107,-0.0038089476595322136,0.07470560644856628
201108,-0.04180474645978616,0.00109139553255988
201109,0.045535147851531343,0.00464900952727243
201110,-0.02825180582617559,-0.007715741926826558
201111,-0.016446853786229232,-0.0034091261598552247
201112,0.03253964044377289,0.011936677151250685
201201,-0.024750284429645664,-0.0894255932037844
201202,0.010603249996250064,0.011462405103362494
201203,-0.03246331353994325,-0.023271835173731104
201204,-0.06997608184052795,-0.009964266793445642
201205,-0.088649587358137,-0.057295968783266815
201206,0.008778527681874704,0.001547612694091427
201207,-0.013760023513970099,0.0033306136743868064
201208,-0.012478865796539562,0.004865541637733561
201209,0.0049404212136435754,0.009703642790516387
201210,0.003179921838342592,0.0014574925294583707
201211,-0.008530833693566775,-0.0032660601046168303
201212,-0.13992733686832226,-0.08351245021849518
201301,-0.004165974381524551,-0.002261079499416896
201302,-0.09800813472683001,-0.08354334557401955
201303,-0.002225121789142248,-0.004364584853480569
201304,-0.055707300954298766,-0.06479987405308019
201305,0.004784917829563362,0.007733783925966686
201306,-0.039555627358810685,-0.086939550680172
201307,0.025444599722324712,0.018091543626300943
201308,-0.02900738597895436,-0.028511850937117833
201309,-0.0022876339772042176,-0.005423228154346926
201310,-0.046067326178760304,-0.06124065995734784
201311,-0.028253768548212488,-0.038057400085885984
201312,-0.008754892058570496,-0.0021311215955563956
201401,-0.08028536247594031,-0.07502130635243676
201402,0.0005552106480594121,0.0006165920348868426
201403,0.06741657639953846,0.05255080876536922
201404,0.00408258977980136,0.004479285585959891
201405,-0.06675773158330411,-0.05587866063258207
201406,0.03584547733132304,0.022736224760144363
201407,-0.029794086869068037,-0.022506850610200413
201408,0.052109451377035376,0.04773972004891591
201409,-0.014739304964491051,-0.009874928934758831
201410,-0.0014374213586847429,0.005793423373989026
201411,-0.02127792149512353,-0.01347317580101648
201412,0.06216885560172025,0.05581934326895455
201501,-0.10461421332446541,-0.08659001004776457
201502,0.007068577691379363,0.008826484526701983
201503,-0.014978073536811909,-0.012017794250951175
201504,-0.024405233678722604,-0.01717437668960553
201505,0.014558775900946452,0.01767786880025246
201506,0.06843268713444794,0.06014005281761714
201507,0.043407461569967554,0.03836780915004623
201508,0.08939288690447778,0.08010614509712399
201509,-0.08901780751714039,-0.0716076204917333
201510,-0.009332968169995404,-0.006724206239853148
201511,0.06152469191342991,0.04867937723862481
201512,0.06224536811992443,0.051885920167537236
201601,-0.01526191273288302,-0.005297899613871948
201602,-0.10376332952944733,-0.25341290356992263
201603,-0.04782514151123962,-0.05688599962134977
201604,0.003257064044320912,0.0032896034777402106
201605,0.001988174122401487,-0.0006195493260567897
201606,-0.06343945195447187,-0.010660921732550399
201607,-0.02778754134894612,-0.006959791857495068
201608,-0.030333051264018085,-0.007719109065191132
201609,0.0844359211390937,0.031872582205648814
201610,-0.03810450717311653,-0.013393108273322962
201611,-0.01682531777389884,-0.007378623414658225
201612,-0.02080459880446006,-0.009495220012543104
201701,-0.04701832775459214,-0.016344388470159288
201702,-0.0005949167586087878,0.001367027713248814
201703,0.00586723399040201,0.002267178714745688
201704,0.02005800945928593,0.012150754156350363
201705,0.011151443637031577,-0.016528581780792972
201706,0.005111783685447513,0.0015389682965798457
201707,0.01644310948383687,0.01807296985040663
201708,-0.012794813163405472,-0.03014648396974784
201709,0.001187114134653,0.001142808440086407
201710,0.009334736611897987,-0.002665405431643064
201711,-0.003282668803415989,-0.00464975885036778
201712,0.009507176407797746,-0.0027389678059490663
201801,0.03202023013792177,0.022515410726773433
201802,0.0028404849343101057,0.002830304771509251
201803,-0.364469997167874,-0.30394996933009555
201804,0.002275522307817579,0.012336786596725435
201805,0.0030486615428606534,0.0005628894471815249
201806,0.004325963033811164,0.0019216908013853784
201807,0.0006448785801110857,0.004613861340428627
201808,-0.006508568066255327,-0.02041530579481665
201809,0.0531829761899435,0.030546761858436633
201810,0.012362445366382757,0.011299230107149838
201811,0.07575938145057459,0.07083175718835999
201812,-0.018804577095438813,-0.017303965523227438
201901,-0.016280486499289593,-0.0173342802902694
