ret_long,ret_short,ret_long_short,n_long,n_short,yyyymm,turnover,ret_ls_net_100M,ret_ls_net_500M,ret_ls_net_1B,ret_ls_net_5B
0.38815559919028353,0.13531291093117415,0.2528426882591094,494,494,200001,0.0,0.2528426882591094,0.2528426882591094,0.2528426882591094,0.2528426882591094
-0.05163497034596375,-0.01972343140794225,-0.031911538938021504,607,554,200002,2.406378056251089,-0.04381880557610336,-0.0496990857707139,-0.05410529364292905,-0.0727003723378766
-0.21007651685677758,-0.2170369534883721,0.006960436631594513,562,516,200003,3.0270014690226725,-0.008142058461490385,-0.014983625168839738,-0.02011014364866267,-0.0417450772078653
-0.1494111210791737,-0.13184240710992068,-0.017568713969253025,593,580,200004,2.139117287899048,-0.03433713062656814,-0.04315100841178506,-0.04975541779308622,-0.07762734661273209
0.31296060829931216,0.040391277845454536,0.2725693304538576,599,539,200005,2.382942835760714,0.2595856413365165,0.25259260414020573,0.24735258588847017,0.2252386605858502
-0.09139708891947321,-0.09787381705150977,0.006476728132036563,579,563,200006,2.3570723259902957,-0.006123297066672409,-0.012975275999997763,-0.01810959656246725,-0.03977745647126637
0.17273302739726026,0.03840255809466896,0.1343304693025913,584,583,200007,2.008817171456093,0.12269082490860189,0.11646763565098507,0.11180447937446489,0.09212502701010333
-0.06582014979413692,-0.15075084790390997,0.08493069810977305,577,578,200008,2.1116978782396134,0.0720366003112579,0.06491927475572251,0.059586124828502895,0.03707916522408774
-0.11287053433835849,-0.15214883985765126,0.039278305519292775,597,562,200009,2.130317098757934,0.027015014557680753,0.02056698964419993,0.0157353596548572,-0.004655085481252326
-0.2345604925555811,-0.22092818743352166,-0.01363230512205943,592,577,200010,2.1220893607262266,-0.030037796677176952,-0.03919969019973785,-0.04606487451536018,-0.07503732572659583
0.017103601147188258,0.003126468273866402,0.013977132873321856,579,524,200011,2.4601093728043537,-0.0002996160210875006,-0.008583605626341705,-0.014790959528537338,-0.040987234794299915
0.3074919083285794,0.23410492208502742,0.073386986243552,611,654,200012,1.838796378323989,0.0586462837651095,0.05084400308493467,0.04499760301275328,0.02032462511947302
-0.12038566489414966,-0.17443345664939372,0.05404779175524406,588,574,200101,2.098339814912117,0.041045401978415816,0.03393911070564391,0.02861422898027312,0.006142162841737034
-0.1309154431630972,-0.12473783732876709,-0.006177605834330108,607,584,200102,1.8026054478571765,-0.016571011681535602,-0.022469936769010136,-0.026890115620667624,-0.045544154643795076
0.15196251333333333,0.03106674999999999,0.12089576333333334,600,508,200103,2.5489212610863934,0.10735415298725681,0.0987597736702294,0.09231983874362557,0.06514202502637668
0.10188012349914236,0.019313674099485416,0.08256644939965693,583,583,200104,2.2880731846769526,0.06958962573945628,0.0612931539787057,0.05507644695557194,0.028840699648332517
0.032823682001969695,-0.019904490203233878,0.05272817220520357,528,543,200105,2.6929674099485412,0.041257713093950286,0.03422956655666481,0.028963240195541494,0.006738289408293803
-0.11419386988899,-0.0366166476793249,-0.07757722220966509,501,474,200106,3.6322409174619823,-0.09348472674294152,-0.1029544810777134,-0.11005035146430792,-0.13999634404443972
-0.02842524708786814,-0.11642842043440152,0.08800317334653338,493,513,200107,2.931960640123299,0.07489776777368219,0.06693729976298284,0.06097236685937596,0.03579915670465642
-0.09267395167286246,-0.2482477015985791,0.15557374992571663,538,563,200108,1.810857923894156,0.1467608930291731,0.14146236366089016,0.13749207295346952,0.12073665190040217
0.05291778872875655,0.22774937929071842,-0.17483159056196187,497,561,200109,2.095941154331195,-0.1866053643095188,-0.19389912830324554,-0.1993644869704556,-0.22242939390635835
0.07718462210692158,0.1991810174825175,-0.12199639537559591,523,572,200110,1.6275655510837215,-0.13208255392104545,-0.13853845666407502,-0.14337598966372084,-0.16379134668422293
0.05787569612406816,0.10921257553956837,-0.051336879415500206,484,556,200111,2.1192354490633565,-0.060856893973460245,-0.06691986796964897,-0.0714629718468294,-0.0906357790691587
0.0043645546218487406,-0.07467016666666663,0.07903472128851538,476,582,200112,1.7627871971826998,0.07237950473513281,0.06850429374214198,0.06560052306817642,0.053346029916602714
-0.013528292282430212,-0.17180093991333617,0.15827264763090595,609,583,200201,1.4909969665987846,0.1525430546397933,0.1491525876535111,0.14661204505502498,0.13589044704676637
0.05828556175972925,0.12030878918393867,-0.06202322742420942,591,620,200202,0.7960326288468657,-0.0662547979028548,-0.0688829248970858,-0.07085223137023233,-0.07916309865217452
-0.004734022071307305,-0.11199777551020404,0.10726375343889674,589,637,200203,0.43677666302757023,0.1044739014331831,0.10258900260215426,0.10117661139072517,0.09521603792568518
-0.0007022123176661302,-0.1007136595365419,0.10001144721887578,617,561,200204,0.8706482218869345,0.09596844315483824,0.09367210367382013,0.09195141201225375,0.08468974897126759
-0.12779704838709677,-0.08315430162412993,-0.04464274676296684,434,431,200205,3.2218341292609494,-0.05925458559347743,-0.0680125372214032,-0.07457504004955315,-0.1022701148313783
-0.10333072799785867,-0.1708967680608365,0.06756604006297784,467,526,200206,3.0785207741347165,0.05145607425223169,0.04182308044509719,0.03460489155931971,0.004142690442477934
0.013885820678452877,-0.0035577438794726834,0.01744356455792556,605,531,200207,1.638075671973969,0.009945187930760654,0.005366919255402093,0.00193633383925647,-0.012541422915078607
-0.085553853529977,-0.14525049773755658,0.05969664420757957,522,442,200208,2.4134534871052553,0.04681447801340462,0.03918984935176522,0.03347656737883749,0.009365374495055798
0.016357311403508757,0.12953638020833327,-0.11317906880482452,456,576,200209,2.8647030651341217,-0.1262779602358581,-0.1343549045542601,-0.14040711541179787,-0.16594865599230463
