,CredRatDG,DivOmit,ConvDebt,DivInit,PctTotAcc,Mom12mOffSeason,IndIPO,Mom12m,EBM,XFIN,ExchSwitch,MomSeason,RDIPO,ShareIss1Y,AnalystRevision,Mom6m,ChNAnalyst,MomRev,Accruals,RD,PS,NetEquityFinance,std_turn,RDS,MomVol,Cash,CF,Price,Mom6mJunk,BookLeverage,STreversal,BPEBM,DolVol,cfp,CoskewACX,EquityDuration,Tax,AbnormalAccruals,RevenueSurprise,EarningsSurprise,CompEquIss,NetDebtPrice,hire,RIO_Turnover,retConglomerate,RDAbility,MomOffSeason06YrPlus,Herf,IntanSP,ChEQ,IntMom,Illiquidity,PriceDelayRsq,ExclExp,SurpriseRD,EarningsStreak,REV6,MomSeason11YrPlus,IndRetBig,betaVIX,MomSeasonShort,ReturnSkew,MomOffSeason,grcapx,IntanCFP,GP,VolSD,ReturnSkew3F,roaq,ForecastDispersion,Investment,IdioVolAHT,ShareIss5Y,OScore,ResidualMomentum,PctAcc,BetaTailRisk,AM,DivYieldST,LRreversal,OPLeverage,Size,IndMom,IntanEP,CashProd,dNoa,FEPS,BidAskSpread,Leverage,sfe,zerotrade12M,AnnouncementReturn,ChNNCOA,BMdec,iomom_cust,RoE,MaxRet,IntanBM,Frontier,MeanRankRevGrowth,EarnSupBig,fgr5yrLag,NOA,RIO_Volatility,zerotrade1M,IdioVol3F,ChInvIA,DelEqu,ChInv,InvestPPEInv,DelFINL,zerotrade6M,PayoutYield,TotalAccruals,NetPayoutYield,iomom_supp,BetaLiquidityPS,SmileSlope,AssetGrowth,OrgCap,tang,OptionVolume1,MomSeason06YrPlus,DelNetFin,RIO_MB,CompositeDebtIssuance,CitationsRD,ChangeInRecommendation,ShareVol,BM,Activism1,AccrualsBM,DelLTI,CustomerMomentum,grcapx3y,DelCOL,DelCOA,ChTax,ChNWC,ChAssetTurnover,CBOperProf,RIO_Disp,RDcap,MomSeason16YrPlus,OrderBacklogChg,MomOffSeason16YrPlus,NetDebtFinance,MS,InvGrowth,HerfBE,GrAdExp,OrderBacklog,Governance,DelBreadth,FirmAgeMom,PatentsRD,EntMult,EarningsForecastDisparity,EarningsConsistency,EP,DivSeason,ChForecastAccrual
202001,0.050513577,0.04213642,0.04096647,0.032748144,0.025810538,0.025495728,0.023896901,0.023635428,0.022881923,0.021719962,0.021088663,0.021072803,0.02082558,0.015951345,0.015449148,0.014126871,0.013750252,0.012936587,0.012079282,0.011752311,0.011713544,0.01165142,0.011163938,0.011047953,0.010978933,0.010869148,0.010607043,0.010506522,0.010317215,0.010266882,0.009547225,0.009434815,0.009305753,0.009302658,0.008782001,0.008591166,0.0085247075,0.008480916,0.008239789,0.0082291085,0.008159381,0.008044925,0.007989188,0.00785742,0.0076179886,0.007419229,0.007314811,0.00709521,0.0070940363,0.007070539,0.007016064,0.0068865735,0.0068281903,0.0066977097,0.006595183,0.0065515325,0.006363525,0.0062524397,0.0060326327,0.005868226,0.0058668912,0.0058570895,0.0055787135,0.005431957,0.0053653107,0.005234484,0.0052288263,0.0051597394,0.0049193855,0.004902502,0.004864885,0.0048648557,0.004691359,0.004602943,0.0045414176,0.0043801377,0.0042073163,0.0040457705,0.004015424,0.0039497027,0.003774553,0.003731769,0.0036040125,0.0035537153,0.0033535077,0.0033394706,0.0033011946,0.003192882,0.0031914497,0.0031599242,0.0029932482,0.0029547752,0.002684358,0.0025308426,0.002520939,0.0025115951,0.0024632085,0.002421128,0.0024193246,0.0023243572,0.0022855133,0.002190426,0.0021512974,0.0021016342,0.0020142216,0.0019806,0.0019100317,0.0018714344,0.0018243426,0.0015781841,0.001570118,0.0015240705,0.0015140504,0.001402834,0.0013999179,0.0013934817,0.0012851524,0.0012188616,0.0010681256,0.0010366854,0.0010344024,0.0007561678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202002,0.019298403,0.044612557,0.041362576,0.027974913,0.0035895046,0.02801271,0.023078084,0.02350171,0.021188037,0.020741453,0.020494,0.0,0.02134757,0.0,0.0064919908,0.013569111,0.0,0.011454711,0.0035803728,0.011786975,0.008178484,0.002123927,0.0149315065,0.00976044,0.01160499,0.011460427,0.008715589,0.008256757,0.0087351585,0.0206852,0.008825227,0.010848108,0.0059756255,0.007873829,0.016397621,0.016513234,0.037114806,0.021676952,0.011315208,0.00780327,0.008948917,0.011133544,0.0,0.006294562,0.0077019786,0.0005617171,0.0045251725,0.0,0.0056167473,0.0051438,0.0076225274,0.008948598,0.009435275,0.007129727,0.004957155,0.0,0.0062305024,0.00718102,0.0,0.0031126915,0.0,0.0048116767,0.0040241694,0.0,0.0063954787,0.008865579,0.0070289946,0.012277413,0.005355209,0.012377621,0.0,0.0058030128,0.0,0.0036630048,0.0022239066,0.014527826,0.0041543175,0.004527276,0.0064302147,0.005310653,0.0044550714,0.0050170664,0.0037823026,0.0,0.014445477,0.0,0.0057749366,0.0053458274,0.0025904488,0.002903654,0.0045039863,0.0031178223,0.0,0.004168771,0.002236047,0.007881128,0.0037333693,0.00084932224,0.001365704,0.0052255006,0.0072673163,0.0,0.0,0.009658723,0.0069308635,0.004722032,0.0,0.002910424,0.00094568747,0.004657044,0.002981608,0.0079626795,0.0,0.0,0.0015072492,0.0,0.0,0.0,0.00272086,0.0,0.0010331821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016926407,0.0,0.002547005,0.0,0.0,0.0,0.0,0.0,0.020937206,0.0,0.0059277625,0.0074828044,0.0,0.0021021669,0.0,0.0,0.0,0.0,0.0,0.0,0.007996936,0.0,0.0,0.0,0.008175968,0.0,0.0,0.0010433623,0.0044280468,0.0,0.0,0.003770677,0.0
202003,0.02746319,0.052671175,0.050210904,0.035426673,0.004781362,0.032149684,0.031345893,0.023539918,0.0010346585,0.017492747,0.029567434,0.0,0.025996272,0.0,0.006628608,0.01826552,0.0,0.016190918,0.0,0.014484971,0.011017106,0.0,0.008162068,0.0,0.014739642,0.020676142,0.009895743,0.007508411,0.0140134245,0.0,0.0033370329,0.0,0.0044066035,0.0076840166,0.0,0.016520415,0.009320949,0.0,0.0,0.014305722,0.009969796,0.0123988055,0.0,0.009182596,0.010544096,0.0077990824,0.0,0.0074036955,0.0039631887,0.0,0.008084393,0.011761102,0.009010094,0.008261671,0.006835209,0.010505336,0.0084915515,0.0,0.012293807,0.0051842215,0.009076795,0.0,0.0013268532,0.0,0.007869704,0.0048445137,0.0058605867,0.0,0.0043664565,0.0,0.0,0.0068735955,0.008100046,0.006329668,0.0055160937,0.004450887,0.005298528,0.0032061234,0.0094431825,0.004856898,0.0062956545,0.0024630134,0.0042595756,0.009384788,0.0,0.0,0.007974869,0.00705006,0.0035691147,0.009625886,0.009909382,0.009908499,0.0,0.004132305,0.0039656325,0.0035776813,0.007281585,0.005953758,0.0027580562,0.0,0.006560483,0.0024545009,0.0045631845,0.0062422436,0.002467306,0.004806775,0.0,0.0053610224,0.00064735784,0.0062581482,0.0013142197,0.0,0.0,0.0015002209,0.00151181,0.0,0.0025324356,0.009052868,0.005651388,0.00800436,0.0,0.0,0.008882864,0.0043837423,0.0,0.0,0.0,0.0,0.0,0.0041971547,0.0,0.0,0.0,0.0,0.0,0.012748066,0.0,0.0,0.0,0.0,0.0,0.0,0.0026173445,0.0,0.0,0.0,0.003924154,0.0,0.0,0.008938178,0.011846551,0.0,0.0,0.008837227,0.0,0.0,0.0020303156,0.0034929104,0.0,0.0031175504,0.0,0.0
202004,0.022413682,0.05305367,0.043214004,0.050393023,0.0,0.013942295,0.037104763,0.015548127,0.0029956973,0.023875669,0.043005906,0.0,0.037170738,0.0012232612,0.005410121,0.0059666536,0.010408207,0.02192976,0.0,0.0073141437,0.007322087,0.006995428,0.0030041523,0.0073235543,0.02098594,0.0028640144,0.013079542,0.011699466,0.0046763113,0.003896784,0.005841904,0.0065487563,0.002923319,0.012277475,0.0,0.0027117715,0.0034573996,0.004605796,0.0,0.00065375294,0.012697867,0.0034210167,0.0,0.0,0.0064390968,0.0,0.0,0.0,0.0044349474,0.0051132296,0.0066283597,0.003936065,0.0010164918,0.004671737,0.008437459,0.0037125896,0.0031681447,0.011320102,0.009095171,0.005807067,0.006049612,0.0030789098,0.0013560356,0.0,0.0060814116,0.0063110404,0.0019287855,0.035926268,0.004561662,0.0012046199,0.0,0.007861921,0.004150031,0.0029427272,0.0140268,0.0040762452,0.0059204963,0.0038858345,0.009072085,0.007077271,0.0050796135,0.0029983032,0.0045544864,0.009612301,0.0,0.011338356,0.0065140473,0.007475836,0.0055810045,0.012232955,0.0028636684,0.008494824,0.0,0.0074520716,0.0063368687,0.0048329453,0.00868742,0.0,0.0042298255,0.0,0.0061743585,0.0,0.0033761088,0.0041372515,0.0030482113,0.0011276674,0.0,0.0055619455,0.0,0.0054097753,0.0,0.002171466,0.0,0.0,0.0,0.004252689,0.0037579571,0.0052788653,0.0069349017,0.0036923857,0.0,0.004714882,0.019766008,0.016752278,0.0,0.0,0.0,0.0,0.0,0.0037190795,0.0,0.00534279,0.002611485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045211036,0.0,0.005231179,0.012830507,0.0,0.0,0.0045333905,0.0,0.0021798566,0.005455668,0.0021938575,0.0,0.0,0.011616639,0.0,0.0,0.0032205225,0.0,0.00085439935,0.0,0.0,0.0
202005,0.0243033,0.055084713,0.045300525,0.05261541,0.0,0.00880932,0.049758326,0.0061196527,0.004425876,0.00796925,0.04242671,0.018213196,0.048242237,0.0032097118,0.0,0.0063216155,0.0,0.0,0.0,0.0056273164,0.007957457,0.007911079,0.0073293415,0.008548449,0.0039362176,0.0057041436,0.013160638,0.005736293,0.0,0.0045681917,0.006493591,0.006328498,0.0048226584,0.007950437,0.0,0.006168184,0.00425058,0.0037522048,0.011443932,0.011630691,0.012327755,0.013387232,0.0,0.0077326107,0.0054562236,0.0,0.012145507,0.0042893263,0.0060173143,0.0037703142,0.006982646,0.0019149793,0.0028631787,0.0024153276,0.007358111,0.004300347,0.0041160546,0.0074406075,0.0021131933,0.0117407255,0.0,0.0026673835,0.004487001,0.0,0.0062371367,0.0025376242,0.0027416907,0.015089359,0.014037846,0.0033666233,0.0,0.009918226,0.004479961,0.0029753016,0.002499172,0.0,0.0060670376,0.003590291,0.008793969,0.00795111,0.0050050565,0.0028405045,0.005361955,0.009652224,0.013837203,0.001035456,0.008853318,0.0087990435,0.003783098,0.003510505,0.006970601,0.0009381725,0.0,0.0069752554,0.0025269398,0.0046558236,0.00856547,0.0074778944,0.0046964297,0.012603507,0.00524582,0.0,0.0039392,0.003989405,0.00478764,0.0,0.0,0.0037089216,0.0,0.0054662703,0.0,0.0025165014,0.0,0.0,0.0,0.003538103,0.0066235145,0.0,0.004885558,0.0033981167,0.016075196,0.0051812553,0.016191296,0.0,0.0,0.0,0.0,0.0,0.0,0.0032020577,0.0,0.0046283836,0.0,0.0,0.0,0.0,0.0034869022,0.0,0.002440518,0.0,0.004759919,0.0,0.0,0.022129653,0.0,0.0,0.005188868,0.0,0.0011777511,0.0056398534,0.0021489605,0.0,0.0,0.015345937,0.0025768478,0.0,0.0037081372,0.0,0.0,0.0,0.0,0.0
202006,0.028839208,0.054835446,0.04380051,0.053086787,0.0,0.0061604353,0.04055639,0.0055737062,0.0032418473,0.0,0.040005226,0.0,0.045626953,0.0,0.0,0.006238053,0.0,0.0,0.0,0.0053339046,0.008069992,0.007990381,0.004560991,0.0078901835,0.011065457,0.005271243,0.013161971,0.0051811626,0.003873168,0.0,0.005921139,0.007259332,0.004761451,0.008616868,0.0,0.007193345,0.0041122693,0.003451261,0.010357031,0.0077363877,0.012958164,0.010931692,0.0014854119,0.009031756,0.006168792,0.0014615387,0.0,0.0,0.0068606427,0.0057971105,0.006505748,0.001989456,0.0020834734,0.0037023947,0.012416099,0.005422431,0.0040481645,0.018599525,0.0031143236,0.010286641,0.0035679322,0.0,0.0035443099,0.0053819725,0.0048641134,0.0036471076,0.0026800546,0.011597787,0.00302926,0.0022482632,0.012848306,0.008161494,0.0,0.0026850745,0.016403778,0.0,0.006177171,0.0043052793,0.008616081,0.007725355,0.0051158518,0.002996625,0.004264391,0.014040213,0.016625615,0.0013315307,0.007517475,0.0077387304,0.005897208,0.003111974,0.00484671,0.015049435,0.0052180085,0.007001544,0.0017667204,0.005072508,0.008960395,0.0022145943,0.004623361,0.015637582,0.0079073375,0.001075166,0.0,0.0018588993,0.003894507,0.0037961893,0.0,0.0027568876,0.0,0.0050968407,0.0,0.001857448,0.0032714286,0.004490372,0.0042668153,0.005233669,0.0,0.0,0.0068941778,0.0039609177,0.0,0.0055836425,0.019546922,0.0,0.0,0.0034156416,0.0,0.0,0.0,0.0021775914,0.0,0.004887255,0.0,0.0,0.0,0.0,0.008581282,0.0,0.0,0.0,0.005047186,0.0,0.0038398672,0.008614393,0.0,0.016426004,0.005488271,0.0,0.0023877732,0.0063030934,0.0020042579,0.0,0.0,0.011482723,0.0018105117,0.0,0.0063205753,0.0,0.0,0.00057304924,0.0,0.0
202007,0.025521452,0.05879009,0.04790105,0.05869113,0.0,0.01091591,0.046124138,0.0067801736,0.00864266,0.0,0.04768834,0.0,0.06568041,0.0058200774,0.0,0.00738976,0.0031640527,0.0,0.0,0.0036556998,0.010035108,0.009966314,0.010125521,0.00070580095,0.010574733,0.00441665,0.018169174,0.0074511543,0.0062455395,0.009474654,0.007724237,0.01162625,0.0047201435,0.022046594,0.0,0.007857363,0.005621132,0.0049263327,0.0,0.0,0.022134442,0.007812142,0.0,0.008382582,0.0050072847,0.0,0.0,0.0,0.004242583,0.0,0.0070353034,0.0027419687,0.0,0.0088807875,0.0079893265,0.005340125,0.0034003314,0.011205587,0.0032778787,0.0063060145,0.0037784996,0.0,0.0046593114,0.0,0.005582587,0.0032762925,0.016659422,0.0063466434,0.0028438382,0.0032896253,0.0,0.009224864,0.0,0.0063950145,0.0016745611,0.004522987,0.0074537364,0.0040369816,0.0146240685,0.008494846,0.0046428563,0.00318681,0.0033288752,0.0005998675,0.0,0.0,0.0104089845,0.009095167,0.004104224,0.0038949184,0.019394383,0.0,0.0036903408,0.008366811,0.0027256636,0.0069556884,0.008930734,0.0,0.004168317,0.026189558,0.0071993917,0.0,0.0037936682,0.0,0.00429122,0.00902419,0.0,0.004352015,0.0,0.0,0.0,0.007970395,0.0,0.0022019907,0.0,0.0,0.0,0.0,0.008641333,0.005345029,0.0,0.008544896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022603346,0.0,0.0056235734,0.0032011638,0.0,0.0,0.0,0.0,0.0,0.0048772916,0.0037923537,0.005715535,0.0,0.0099879205,0.0,0.0,0.0,0.0050818212,0.0,0.0011789608,0.0,0.0027633798,0.0,0.0,0.017374836,0.00202419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202008,0.067819834,0.069805436,0.05789808,0.07399041,0.0038808081,0.011276545,0.059341017,0.01097367,0.004523751,0.0,0.0553682,0.0024324,0.07672483,0.0,0.000683565,0.009183119,0.0,0.0,0.0011054575,0.0044534896,0.0,0.0061435313,0.0070701162,0.005553128,0.0038015307,0.004819275,0.010148896,0.0056839692,0.002595471,0.003636928,0.010604809,0.009747417,0.0054132454,0.02061595,0.0038182759,0.0,0.003002094,0.0028082586,0.0008179725,0.007640141,0.0061121434,0.021282973,0.0036283885,0.0007130602,0.0036353793,0.0,0.0012408028,0.0,0.004714509,0.005343962,0.00695845,0.0036903007,0.003559813,0.0,0.0099747935,0.0,0.002288381,0.0,0.0025642384,0.0044620098,0.0035136403,0.005265599,0.0019929265,0.0027837474,0.0,0.005908963,0.0021762936,0.0034915456,0.0038909107,0.004559684,0.0,0.011287919,0.0,0.01324488,0.0033967497,0.0,0.008482489,0.004086288,0.0,0.008469004,0.0047472566,0.003587493,0.003277176,0.0,0.0075180694,0.0023447073,0.011720891,0.011904228,0.0047496012,0.0042357156,0.0023210212,0.0027376823,0.0042379256,0.0032546744,0.0027097142,0.0037733177,0.011656708,0.005820679,0.0033898775,0.0012148956,0.006939133,0.0,0.001971954,0.0,0.002874504,0.0032254152,0.0055161575,0.0041711438,0.0,0.0015215774,0.0053361366,0.0065753576,0.0031396323,0.00429078,0.00766495,0.0030694362,0.0,0.00130065,0.0,0.0035396493,0.0034827369,0.0017841539,0.0030932217,0.0037179748,0.0,0.0,0.0,0.0,0.0,0.0046356553,0.0,0.0,0.0,0.0,0.0,0.0003817325,0.00039650922,0.0,0.0046720617,0.0,0.00572018,0.0,0.0038347237,0.0,0.0,0.0,0.005925921,0.007714146,0.0036181894,0.0,0.0031943189,0.0,0.0,0.0,0.0029455433,0.0,0.0024433532,0.0,0.0,0.0,0.0,0.0
202009,0.048303742,0.05548068,0.045229282,0.059476726,0.0,0.009994425,0.050200727,0.0075110653,0.012853249,0.0074975365,0.04927659,0.0024036835,0.07301282,0.0040467363,0.0056066564,0.007261675,0.0,0.0,0.0,0.0048578396,0.0,0.009701631,0.016254246,0.0,0.0068703513,0.007152091,0.009769521,0.005422017,0.0,0.008795734,0.008045844,0.010659131,0.0061811935,0.024523754,0.0,0.0032876548,0.0075820014,0.001840438,0.0,0.001506328,0.0039810585,0.020605681,0.0,0.0,0.0027376185,0.0,0.003509014,0.0,0.00531821,0.0,0.008753357,0.002431555,0.0026658748,0.0010907083,0.007637876,0.0019102758,0.0066595078,0.0,0.0029578113,0.006756743,0.0014522888,0.0,0.0042553768,0.002382014,0.009859363,0.0034909546,0.0018826338,0.0,0.004421617,0.0021172974,0.0,0.011767472,0.0,0.016046798,0.006035928,0.0,0.008081833,0.0035268338,0.014186306,0.0078098252,0.0038952846,0.007219526,0.005300791,0.0020883635,0.0,0.0028668586,0.008420788,0.010206133,0.0050636344,0.0035174172,0.0069268905,0.0,0.0035061194,0.005192122,0.001846083,0.0066172825,0.009250945,0.006768402,0.002586083,0.009166266,0.007975539,0.0,0.0030936855,0.005498964,0.004703113,0.014223902,0.0,0.0037621474,0.0,0.0037048738,0.0,0.00895213,0.0,0.004237818,0.00988916,0.006173313,0.003472651,0.0,0.0,0.0,0.0033255236,0.0,0.0,0.0,0.0,0.0061274697,0.0,0.0,0.0,0.00918246,0.0,0.0,0.0,0.0,0.0,0.00601949,0.0,0.012991746,0.0,0.0016616944,0.0,0.0,0.0037748832,0.0,0.0,0.007135223,0.0,0.0,0.001968253,0.0,0.002735063,0.0017246587,0.0,0.002492074,0.002636433,0.008896632,0.0066691623,0.0015957721,0.0,0.0,0.0,0.0
202010,0.051737603,0.0704915,0.05936209,0.07214474,0.0,0.011713595,0.053915527,0.013597526,0.0,0.01026474,0.046541434,0.0,0.08019445,0.0042112763,0.0,0.0086477185,0.0,0.0,0.0,0.0066116145,0.0,0.01194292,0.020276502,0.0,0.010403881,0.007129937,0.009444657,0.006593059,0.0025425446,0.0,0.01131919,0.0,0.006565063,0.018820023,0.0,0.0,0.0,0.0021244546,0.0,0.0,0.007108411,0.011164267,0.0030571606,0.0,0.0026981956,0.004047488,0.004645589,0.002236268,0.0050780387,0.0,0.009792582,0.0,0.007000561,0.0,0.014698539,0.0,0.0025196595,0.0,0.0033113582,0.0034527136,0.0040847193,0.0034925705,0.0032775744,0.0,0.0,0.0041230693,0.0,0.0035937994,0.004128489,0.0071670823,0.0,0.013652417,0.0,0.01686112,0.0040840576,0.0,0.009978652,0.0046334723,0.015132452,0.010912946,0.0046296925,0.010790238,0.009413311,0.0026138003,0.0,0.0,0.009890158,0.011520416,0.0044040587,0.004143691,0.0,0.007622854,0.0,0.005900844,0.0019514543,0.0030958327,0.011103398,0.0,0.0030140444,0.0,0.0048633358,0.0,0.0019485082,0.0,0.008305132,0.011699362,0.0023213169,0.0039100437,0.0,0.0,0.001104514,0.014633381,0.0,0.004214772,0.0,0.0030617176,0.005761672,0.0,0.008842689,0.0039011876,0.015401568,0.0,0.011826378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111137675,0.003619612,0.0,0.0,0.0,0.0,0.0013038337,0.0026019472,0.0031358222,0.0,0.0,0.0038063284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
