model,r2_q45_pct,r2_q4_pct,r2_q5_pct,r2_full_pct,N_train/month
Mall,-0.13239043755095548,-0.12379418038397372,-0.14389935798022613,0.2477164125012199,6775.997679814385
MQ2+,-0.20007412219833487,-0.12575230735967224,-0.299578340897555,0.07728543613210181,3917.2668213457077
MQ3+,-0.5248947544579607,-0.3997842048418576,-0.6923964162190765,-0.09438720017627134,2634.9559164733178
MQ4+,-0.6973822010197583,-0.6016264911453018,-0.8255827450690534,-0.27350310424734126,1577.5266821345708
MQ5+,-0.7768540183666461,-0.6614822269746412,-0.9313171458792624,-0.23988148028475376,725.9791183294664
