,Mall,MQ2+,MQ3+,MQ4+,MQ5+
Q1 (Illiquid),0.571,0.261,0.104,-0.089,0.001
Q2,-0.155,-0.135,-0.269,-0.425,-0.412
Q3,-0.158,-0.104,-0.232,-0.39,-0.448
Q4,-0.124,-0.126,-0.4,-0.602,-0.661
Q5 (Liquid),-0.144,-0.3,-0.692,-0.826,-0.931
Full sample,0.248,0.077,-0.094,-0.274,-0.24
Q4-Q5 combined,-0.132,-0.2,-0.525,-0.697,-0.777
