Quintile,Gross_SR,Avg_Ret_pct,N_months,Net_SR_100M,Avg_TC_100M_pct,Net_SR_500M,Avg_TC_500M_pct,Net_SR_1B,Avg_TC_1B_pct,Net_SR_5B,Avg_TC_5B_pct
Q1,0.009205319411915778,0.018900207066093307,299,-1.5776529023020418,3.6021614957205212,-2.4677553622926762,6.50094847471851,-2.920336520501949,8.673065718118275,-3.7841853321356185,17.8398350233906
Q2,0.4478715190303957,0.9457478733685925,299,-0.3220353453878129,1.6384125838703274,-0.6678796634347005,2.4051698089736453,-0.916548949690124,2.9797158526170366,-1.832590732719024,5.404415096333956
Q3,0.4721180334601954,1.0082828134821065,299,-0.0637412063413889,1.145353455574476,-0.21836539407119998,1.479468660306175,-0.333319956876315,1.7298276562371662,-0.8056440379144358,2.7863927040828034
Q4,0.33403450179301836,0.5869712022040828,299,-0.14249469400571843,0.8373028663588236,-0.2235194776129214,0.9795174003702124,-0.2842210032012578,1.0860815059172086,-0.539666859932794,1.5358033497726795
Q5,0.04926933155042794,0.08324209896472884,299,-0.28262127068891235,0.5614329622657663,-0.3064959482861016,0.6019302732723266,-0.3243757000212838,0.6322756929896042,-0.39972437048407816,0.760339434882541
