Quintile,R2_Standard,R2_Weighted,R2_Improvement
Q1,0.4044547349217553,-0.25666263116654875,-0.6611173660883041
Q2,0.1905275701829634,-0.22263538680615813,-0.41316295698912153
Q3,0.10417889977023531,-0.24504806067799922,-0.34922696044823454
Q4,-0.14410082542395397,-0.39752647754254244,-0.2534256521185885
Q5,-0.23144604315361583,-0.99040327802975,-0.7589572348761342
Pooled,0.1502716508930968,-0.34453098125757364,-0.49480263215067044
