Feature,Q1 (illiq),Q2,Q3,Q4,Q5 (liq),Q5-Q1
EarningsStreak,0.0096 (7.10),0.0027 (1.70),0.0069 (5.46),0.0038 (2.44),0.0013 (0.70),-0.0083 (-3.69)
EarningsSurprise,0.0048 (3.10),-0.0004 (-0.25),-0.0032 (-2.52),-0.0036 (-3.12),-0.0025 (-2.96),-0.0073 (-3.82)
EntMult,0.0028 (1.74),-0.0008 (-0.34),0.0013 (0.69),0.0019 (0.84),-0.0006 (-0.25),-0.0034 (-1.22)
EquityDuration,0.0000 (0.03),0.0022 (1.07),-0.0040 (-1.98),-0.0031 (-1.47),-0.0022 (-0.79),-0.0022 (-0.77)
ExclExp,0.0026 (1.60),-0.0020 (-1.23),0.0013 (0.98),0.0012 (1.23),0.0009 (0.94),-0.0017 (-0.83)
FEPS,0.0086 (2.48),-0.0069 (-2.34),-0.0054 (-1.71),-0.0035 (-1.15),-0.0002 (-0.06),-0.0088 (-2.29)
ForecastDispersion,0.0018 (1.06),0.0002 (0.19),0.0036 (2.59),0.0007 (0.48),-0.0006 (-0.40),-0.0023 (-0.96)
GP,0.0031 (1.57),0.0069 (3.33),0.0033 (1.46),0.0001 (0.06),0.0009 (0.41),-0.0022 (-0.76)
Herf,0.0002 (0.06),-0.0011 (-0.38),0.0009 (0.32),-0.0042 (-1.53),0.0007 (0.27),0.0006 (0.15)
HerfBE,0.0049 (1.64),0.0039 (1.31),-0.0002 (-0.08),0.0066 (2.19),0.0024 (0.88),-0.0025 (-0.61)
IdioVol3F,-0.0017 (-0.33),0.0010 (0.21),0.0013 (0.24),-0.0002 (-0.04),0.0053 (1.09),0.0070 (1.13)
IdioVolAHT,-0.0025 (-1.05),0.0020 (0.66),0.0047 (1.56),0.0027 (0.78),-0.0004 (-0.10),0.0021 (0.49)
Illiquidity,0.0161 (4.40),0.0123 (2.02),0.0127 (1.87),0.0087 (1.19),0.0092 (1.13),-0.0070 (-0.82)
IndMom,0.0075 (5.81),0.0041 (2.37),0.0028 (2.00),-0.0001 (-0.08),-0.0013 (-0.87),-0.0088 (-5.07)
