category,n_features,n_sig_gamma,avg_abs_gamma
Investment,28,10,0.0057001342713733985
Momentum,15,9,0.013565396765371721
Profitability,15,9,0.009138254398278391
Value,10,8,0.023207937103263285
Quality,11,6,0.011605690291020522
Liquidity,10,5,0.015327135209595905
Other,13,4,0.005730461429794628
Risk,11,3,0.009243110808918707
