yyyymm,state,n_stocks
201003,Expansion,5704
201004,Expansion,5714
201005,Expansion,5702
201006,Expansion,5690
201007,Expansion,5692
201008,Expansion,5688
201009,Expansion,5679
201010,Expansion,5673
201011,Expansion,5662
201012,Expansion,5673
201101,Expansion,5676
201102,Expansion,5666
201103,Expansion,5638
201104,Expansion,5639
201105,Expansion,5627
201106,Expansion,5615
201107,Expansion,5627
201108,Expansion,5623
201109,Expansion,5608
201110,Expansion,5586
201111,Expansion,5583
201112,Expansion,5570
201201,Expansion,5561
201202,Expansion,5575
201203,Expansion,5577
201204,Expansion,5574
201205,Expansion,5574
201206,Expansion,5545
201207,Expansion,5526
201208,Expansion,5521
201209,Expansion,5483
201210,Expansion,5500
201211,Expansion,5479
201212,Expansion,5479
201301,Expansion,5467
201302,Expansion,5466
201303,Expansion,5448
201304,Expansion,5447
201305,Expansion,5469
201306,Expansion,5473
201307,Expansion,5492
201308,Expansion,5503
201309,Expansion,5516
201310,Expansion,5521
201311,Expansion,5542
201312,Expansion,5553
201401,Expansion,5555
201402,Expansion,5570
201403,Expansion,5598
201404,Expansion,5619
201405,Expansion,5634
201406,Expansion,5655
201407,Expansion,5689
201408,Expansion,5695
201409,Expansion,5699
201410,Expansion,5718
201411,Expansion,5736
201412,Expansion,5747
201501,Expansion,5736
201502,Expansion,5730
201503,Expansion,5724
201504,Expansion,5738
201505,Expansion,5751
201506,Expansion,5777
201507,Expansion,5799
201508,Expansion,5797
201509,Expansion,5777
201510,Expansion,5789
201511,Expansion,5787
201512,Expansion,5770
201601,Expansion,5752
201602,Expansion,5735
201603,Expansion,5722
201604,Expansion,5703
201605,Expansion,5702
201606,Expansion,5684
201607,Expansion,5684
201608,Expansion,5656
201609,Expansion,5666
201610,Expansion,5669
201611,Expansion,5684
201612,Expansion,5687
201701,Expansion,5685
201702,Expansion,5666
201703,Expansion,5666
201704,Expansion,5675
201705,Expansion,5671
201706,Expansion,5687
201707,Expansion,5708
201708,Expansion,5687
201709,Expansion,5675
201710,Expansion,5684
201711,Expansion,5701
201712,Expansion,5704
201801,Expansion,5711
201802,Expansion,5717
201803,Expansion,5705
201804,Expansion,5708
201805,Expansion,5713
201806,Expansion,5738
201807,Expansion,5749
201808,Expansion,5755
201809,Expansion,5761
201810,Expansion,5771
201811,Expansion,5755
201812,Expansion,5741
201901,Expansion,5724
201902,Expansion,5715
201903,Expansion,5708
201904,Expansion,5728
201905,Expansion,5753
201906,Expansion,5757
201907,Expansion,5777
201908,Expansion,5757
201909,Expansion,5761
201910,Expansion,5762
201911,Expansion,5775
201912,Expansion,5776
202001,Expansion,5777
202002,Expansion,5786
202005,Expansion,5747
202006,Expansion,5768
202007,Expansion,5792
202008,Expansion,5819
202009,Expansion,5856
202010,Expansion,5921
202011,Expansion,5975
202012,Expansion,6037
202101,Expansion,6103
202102,Expansion,6160
202103,Expansion,6295
202104,Expansion,6440
202105,Expansion,6515
202106,Expansion,6593
202107,Expansion,6681
202108,Expansion,6731
202109,Expansion,6772
202110,Expansion,6841
202111,Expansion,6909
202112,Expansion,6995
202201,Expansion,7053
202202,Expansion,7076
202203,Expansion,7093
202204,Expansion,7113
202205,Expansion,7116
202206,Expansion,7116
202207,Expansion,7104
202208,Expansion,7115
202209,Expansion,7100
202210,Expansion,7092
202211,Expansion,7004
202212,Expansion,6974
202301,Expansion,6944
202302,Expansion,6869
202303,Expansion,6866
202304,Expansion,6847
202305,Expansion,6806
202306,Expansion,6782
202307,Expansion,6758
202308,Expansion,6748
202309,Expansion,6724
202310,Expansion,6703
202311,Expansion,6653
202312,Expansion,6670
202401,Expansion,6657
202402,Expansion,6631
202403,Expansion,6620
202404,Expansion,6612
202405,Expansion,6607
202406,Expansion,6590
202407,Expansion,6581
202408,Expansion,6575
202409,Expansion,6602
202410,Expansion,6621
202411,Expansion,6606
