ret_long,ret_short,ret_long_short,n_long,n_short,yyyymm,turnover,ret_ls_net_100M,ret_ls_net_500M,ret_ls_net_1B,ret_ls_net_5B
0.40318474914907854,0.07112007699127076,0.33206467215780777,494,494,200001,0.0,0.33206467215780777,0.33206467215780777,0.33206467215780777,0.33206467215780777
-0.10333068410168958,-0.011775576257476215,-0.09155510784421336,598,505,200002,1.7734795815091866,-0.10007860324778554,-0.10389860202086812,-0.10676100110879523,-0.1188408978907849
-0.1802728338925133,-0.1731147388032587,-0.007158095089254607,561,495,200003,3.223022719778396,-0.020850280174782885,-0.026383183378023627,-0.030529094940650876,-0.04802567113613325
-0.1636207513803784,-0.06292411734384204,-0.10069663403653636,610,539,200004,2.5143409981126776,-0.11487706162690128,-0.12128961318054085,-0.12609466229410668,-0.1463729308168592
0.2911287468926279,0.060504158829921995,0.23062458806270592,598,592,200005,1.3407378047815155,0.22361362571933266,0.22032306624112347,0.2178573862740079,0.20745172354661168
-0.07672376387876154,-0.037107210834567535,-0.039616553044194,608,679,200006,1.6162628671177752,-0.04709972971586603,-0.0504570577284371,-0.0529727686518991,-0.0635895720239101
0.18480390000294894,0.016329039549651196,0.16847486045329774,631,609,200007,1.2950249442245512,0.16281515847790187,0.16032544972670842,0.15845986272473428,0.1505867123605096
-0.05711621051958535,-0.09469897134843519,0.03758276082884984,597,744,200008,1.745103319382106,0.029931369825675055,0.026414169081762473,0.023778662423390606,0.012656297084588309
-0.09764420674527655,-0.10485500007100404,0.007210793325727494,610,628,200009,1.4805823331910064,0.0004366468355796139,-0.002518198850060962,-0.004732321968408917,-0.014076364469355222
-0.23851057190827696,-0.16611210107308333,-0.07239847083519363,634,769,200010,1.4860737300310345,-0.08189558046779828,-0.08622230718829019,-0.08946440734437258,-0.1031467185942376
-0.014383606562955203,0.039630255134261175,-0.05401386169721638,637,589,200011,1.4192903482247652,-0.061256849495161046,-0.06459991804397307,-0.06710494407498283,-0.07767665506330265
0.2428637732222454,0.08407250886239999,0.15879126435984542,593,588,200012,0.9207189824176827,0.15290274335782067,0.15029977386850063,0.14834931840117618,0.1401180061349995
-0.1594435430416109,-0.04598022007853406,-0.11346332296307685,610,590,200101,0.7153416308188125,-0.11733494609704295,-0.11928719518992095,-0.1207500532573729,-0.12692360695086502
-0.13489293626666873,-0.05175166266008649,-0.08314127360658224,615,751,200102,1.2089359660807557,-0.08728728919873628,-0.08928737740551079,-0.09078608224782286,-0.09711091650247215
0.17034272353620367,0.04911985516063844,0.12122286837556523,619,587,200103,1.2232956933603405,0.11544440759947372,0.11239658317907017,0.11011278929342842,0.10047472221667059
0.08990341001940926,0.011682950075265375,0.07822045994414388,611,593,200104,0.7571812056891175,0.07395724332077423,0.07145750323048006,0.06958439955177421,0.06167952730800961
0.003377178456299271,0.01238949490042509,-0.009012316444125819,482,463,200105,3.694584734199694,-0.020958569945860355,-0.02718887246340439,-0.031857358843397854,-0.05155930531071806
-0.048799260497006315,-0.12083370624498761,0.07203444574798129,517,471,200106,3.0299964244965034,0.06080252683927589,0.05495395556485225,0.05057150780085011,0.03207670151583759
-0.02386748654150363,-0.12719159868441654,0.10332411214291291,546,589,200107,1.9623705656451302,0.09603594768996296,0.09261302848343708,0.09004816880760497,0.07922394786824691
-0.1355599096915856,-0.08744280022307888,-0.048117109468506725,593,489,200108,2.495486409140221,-0.05570182100221827,-0.05923059234443264,-0.0618747690762766,-0.07303372385960347
0.08911121235300506,0.18865384668495594,-0.09954263433195087,570,578,200109,2.2624580345425764,-0.10974702194008096,-0.11512442880192822,-0.11915382394342008,-0.13615867753227578
0.05687964396078494,0.20392507413056768,-0.14704543016978275,548,538,200110,1.6083120801582704,-0.15427901585686993,-0.15796135354062665,-0.16072060050732634,-0.17236517470186635
0.044916876052751936,0.11061749699093558,-0.06570062093818364,496,569,200111,1.4170652765982361,-0.07043318453415867,-0.07271522144722903,-0.07442519591753946,-0.0816416302674215
