yyyymm,R2_std,R2_wt
200001,0.014946741620268655,0.015170603421391426
200002,-0.04861553918659678,-0.008973165217731394
200003,0.00768799947652532,0.0008799053936222601
200004,-0.030319366589819596,-0.036958227077573014
200005,0.020253536737091626,0.024533938100106067
200006,-0.010666280732900768,-0.016974571551378492
200007,0.02018033438883826,0.01892483250747501
200008,-0.011002910744226435,-0.010209625474280948
200009,-0.02653336687582586,-0.021076603901654334
200010,-0.02110320714536229,-0.029522105576456514
200011,-0.029256061544526757,-0.02652719913439161
200012,0.0448817125279114,0.03761921236442933
200101,-0.05980303855070246,-0.0810471751095323
200102,-0.0665170577562535,-0.0851913345009756
200103,0.05631888261901308,0.052561480619538026
200104,0.036415357757183964,0.03272916209153043
200105,-0.0017043469936655065,0.002007154032942271
200106,-0.018942093127541693,-0.005151458109256657
200107,0.00320817284812569,0.000678036318795816
200108,-0.048789887397932885,-0.04341740899206581
200109,0.0073982736764408585,-0.004742492235937146
200110,-0.024476421575207796,-0.052639287131005075
200111,-0.09261615049272054,-0.09670449621013688
200112,0.018625801227188044,0.01472870398853332
200201,-0.0293453710159417,-0.017435680130003517
200202,-0.011975468598214967,-0.04218383552648253
200203,0.02463210699775953,0.03638009476399762
200204,0.019333757179808675,0.030549399735003813
200205,0.024225659363464214,0.04731059726631115
200206,0.03215343775188728,0.04501912834663835
200207,0.012534776393661962,0.007349152709455797
200208,0.038565048738141594,0.04968899055036724
200209,-0.01673535097233203,-0.030949088289908167
200210,-0.01724660044578985,-0.03741244808980948
200211,0.027589557292683642,0.051334174711149094
200212,0.006626154355277247,0.004198314815369808
200301,-0.008941290388141843,-0.009587588650576517
200302,0.007948368571254694,0.0035274361713245606
200303,-0.006821063065083122,-0.01165116050474424
200304,0.009050152516540844,0.0026947403858409436
200305,0.006604290377369204,0.0025129458317844078
200306,0.002172026697756735,0.0016304914960645345
200307,-0.006920664190495085,-0.010833509733717772
200308,0.010089676339277043,0.001147147802575632
200309,-0.010773173987045137,-0.01791658562449716
200310,-0.005948160616049414,-0.006987706398109639
200311,-0.004388178580172486,-0.004298820453366714
200312,0.008931231632488323,0.0006546566297317424
200401,-0.0019476561378997115,-0.0004727713728680527
200402,0.005175386697300555,0.006298898097278682
200403,0.021661325420404887,0.024075799330629866
200404,-0.010060044721970307,-0.0039676378097492915
200405,-0.004294709921542683,0.004635797500857075
200406,-0.02979731777163619,-0.034668010312390196
200407,-0.027364796469111052,-0.014739214140343515
200408,0.01357282662971504,0.017741194667980853
200409,-0.01835285137723064,-0.009299946956059513
200410,0.04901464405664868,0.043882318012344435
200411,0.04752710484124423,0.04201404308883927
200412,-0.07244043141900658,-0.0655841619561981
200501,-0.02752204676755965,-0.018620807509416526
200502,-0.04396943123151931,-0.050223451626828286
200503,-0.08417853400291064,-0.08932572147212925
200504,0.011310093920409603,0.014964687256330822
200505,0.008260713287114307,0.012277997913536787
200506,0.03762590914451469,0.035531131549253026
200507,-0.008649946665973296,-0.0014925349377452601
200508,-0.004974559737826345,-0.0014075467214202941
200509,-0.025617011755046715,-0.01776656013702005
200510,0.003456750009754428,0.004495787701152332
200511,-0.008293554006897574,-0.005985990736494973
200512,0.05587744837719455,0.04305309784166622
200601,-0.005707976648850144,-0.00696894058733033
200602,0.048990064453178106,0.0563576187975412
200603,-0.02910961247135968,-0.044485417937765614
200604,-0.013745172037583409,0.024253059522805764
200605,-0.01844709975731673,-0.016246373478043585
200606,-0.040535054215675714,-0.0538829711220552
200607,0.0003860055043726218,0.0012660708832982204
200608,-0.01776434948245309,-0.017493745965809993
200609,0.014596194029268372,0.018241030094142685
200610,0.002224323441747833,0.0022883047602937356
200611,-0.004838858228771947,-0.008909991307930909
200612,0.012286401076671671,0.012789684957091874
200701,0.0038003831277139133,-0.007121813226657059
200702,-0.07020102484976731,-0.11925521900556424
200703,0.01141728009257581,-0.0139312385078314
200704,-0.010570257591569376,-0.005850877519961495
200705,-0.006149693999117245,-0.011086197338835646
200706,-0.02022760281654845,-0.013902639256811566
200707,-0.011304152196135453,-0.005206242263540606
200708,-0.003421461189962338,-0.003202669473099995
200709,0.007512181227961046,0.003090884396071969
200710,-0.032234799177219386,-0.026186318485275972
200711,-0.015572554489720059,-0.014323058800158606
200712,-0.00995119899835295,-0.013229453717232387
200801,-0.004623939339512884,-0.0027778290523330362
