ret_long,ret_short,ret_long_short,n_long,n_short,yyyymm,turnover
0.07176811320754715,0.09722512264150944,-0.025457009433962285,106,106,201501,0.0
-0.004310292452830191,-0.024519150943396233,0.020208858490566042,106,106,201502,1.0943396226415094
-0.0013442095238095063,0.027793133333333345,-0.02913734285714285,105,105,201503,1.2641509433962268
0.0007445238095238112,0.0008214150943396151,-7.689128481580391e-05,105,106,201504,1.3647798742138364
-0.011562847619047606,-0.020439546560380946,0.00887669894133334,105,105,201505,1.6495956873315354
-0.010815676190476204,-0.09520129245283018,0.08438561626235398,105,106,201506,2.0862533692722347
-0.03014723809523807,-0.03390926666666665,0.003762028571428582,105,105,201507,1.5728661275831073
-0.06618966666666666,-0.10418296190476191,0.03799329523809525,105,105,201508,1.619047619047618
0.07171091346153843,0.07200257692307692,-0.00029166346153848555,104,104,201509,1.7904761904761886
0.01628800952380951,0.019672619047619036,-0.0033846095238095272,105,105,201510,1.2952380952380953
-0.02856291262135921,-0.0957102307692308,0.06714731814787159,103,104,201511,1.2952380952380946
-0.0620317450980392,-0.14627213725490196,0.08424039215686276,102,102,201512,1.3144137415982078
0.014722067961165052,0.021316980582524268,-0.0065949126213592155,103,103,201601,1.1844660194174765
0.07547784466019415,0.17955948543689318,-0.10408164077669903,103,103,201602,1.961165048543689
0.021244019607843133,0.18276726470588245,-0.1615232450980393,102,102,201603,1.7087378640776683
-0.007783000000000012,-0.019349068627450988,0.011566068627450975,102,102,201604,2.1960784313725457
-0.013833460784313724,0.010678815649078438,-0.024512276433392162,102,102,201605,1.4313725490196072
0.06636235999999998,0.06912126999999998,-0.0027589100000000033,100,100,201606,3.7647058823529385
0.00439896,-0.0020266800000000073,0.006425640000000008,100,100,201607,2.1600000000000015
0.0027377836704848488,0.017814600000000007,-0.015076816329515158,99,100,201608,1.56
-0.03969224242424241,-0.05849936363636362,0.018807121212121213,99,99,201609,1.5698989898989886
0.10305859595959595,0.09500136363636363,0.008057232323232313,99,99,201610,1.5353535353535344
0.002709979591836732,0.016290806122448973,-0.01358082653061224,98,98,201611,1.4343434343434325
0.019141237113402054,0.019786752577319575,-0.0006455154639175217,97,97,201612,1.428571428571428
0.01941648453608246,0.017782463917525766,0.0016340206185566954,97,97,201701,1.4432989690721636
0.006701453608247419,0.0026851443298969054,0.004016309278350514,97,97,201702,1.463917525773195
0.017953395833333323,0.00016407291666666306,0.01778932291666666,96,96,201703,1.6907216494845367
-0.0014059690721649485,-0.01795632989690721,0.01655036082474226,97,97,201704,1.3608247422680404
0.024284010309278323,0.01294596907216494,0.011338041237113383,97,97,201705,1.9587628865979356
0.008814199999999982,0.008397416666666671,0.00041678333333331104,95,96,201706,2.2680412371134007
-0.004867739583333331,-0.04450482291666666,0.03963708333333333,96,96,201707,1.6041666666666656
0.05330373684210522,0.06657351042919993,-0.013269773587094705,95,95,201708,1.8333333333333326
-0.038448799999999964,0.03084708421052629,-0.06929588421052625,95,95,201709,3.031578947368426
0.09999698947368411,0.01884411578947367,0.08115287368421045,95,95,201710,1.3894736842105264
-0.004540736842105259,0.028998610526315763,-0.03353934736842102,95,95,201711,3.368421052631585
-0.0026789468085106397,0.05408492553191488,-0.05676387234042552,94,94,201712,2.9684210526315846
-0.044687499999999984,-0.03172799999999996,-0.012959500000000027,94,95,201801,1.2284434490481517
-0.010324894736842099,0.00030584210526314517,-0.010630736842105245,95,95,201802,1.6210526315789482
0.010643913978494625,-0.004319752688172033,0.014963666666666658,93,93,201803,1.5578947368421039
0.048766589473684174,0.05866018947368417,-0.009893599999999995,95,95,201804,1.5157894736842095
0.03502556249999999,0.00937130208333333,0.025654260416666658,96,96,201805,1.6666666666666652
0.020132195876288658,0.009776185567010293,0.010356010309278366,97,97,201806,2.0618556701030917
-0.006679628865979389,0.057872206185566995,-0.06455183505154638,97,97,201807,2.2680412371133984
-0.028548927835051526,-0.014975438156577318,-0.013573489678474208,97,97,201808,2.30927835051546
-0.11231631958762882,-0.07534847422680407,-0.036967845360824744,97,97,201809,1.9381443298969048
0.019536670103092776,-0.01552318556701031,0.035059855670103085,97,97,201810,2.4123711340206144
-0.16049926041666662,-0.11239521874999996,-0.048104041666666666,96,96,201811,2.103092783505154
0.18145412631578936,0.09380395789473679,0.08765016842105257,95,95,201812,2.3333333333333326
0.04012450526315786,0.040855094736842054,-0.0007305894736841928,95,95,201901,3.0526315789473735
-0.015823831578947362,-0.009760126315789461,-0.006063705263157901,95,95,201902,3.4526315789473747
0.03172652173913043,0.005164880434782596,0.026561641304347836,92,92,201903,3.0526315789473757
-0.11550578723404253,-0.10908070212765958,-0.006425085106382955,94,94,201904,3.234042553191496
