feature,avg_importance,liquid_r2,is_focal,spearman_rho
DelLTI,0.03961128387039516,0.015005422590254029,False,0.05167602667602667
Size,0.02116906522838612,0.001265243229537419,True,0.05167602667602667
BMdec,0.0077454912465339445,0.00205182021825994,False,0.05167602667602667
CompEquIss,0.01419173867712696,0.00625040817628533,False,0.05167602667602667
ResidualMomentum,0.00672958777434061,0.023672839526144036,False,0.05167602667602667
Price,0.02164602171579826,0.0019401167983043276,False,0.05167602667602667
MeanRankRevGrowth,0.004558072180719241,0.0005653885735407004,False,0.05167602667602667
STreversal,0.018147556416466037,0.00030655650160643584,True,0.05167602667602667
DelCOA,0.005449519809421096,0.0016758337995968738,False,0.05167602667602667
Tax,0.024758681742144222,0.010903768839683808,False,0.05167602667602667
DelFINL,0.007296243412295527,0.017101299062919434,False,0.05167602667602667
Accruals,0.005890477222490112,2.748586276379964e-05,True,0.05167602667602667
AnalystRevision,0.019119931648120883,0.0027704857199343344,False,0.05167602667602667
BM,0.011145306331413852,0.003965768888702364,True,0.05167602667602667
DelNetFin,0.009700766099573247,0.00021869626388588948,False,0.05167602667602667
DolVol,0.016617025809368708,0.0011035335759341834,False,0.05167602667602667
dNoa,0.0069163977978345765,0.03571796856013792,False,0.05167602667602667
Illiquidity,0.012557033117686078,0.007519937804005352,True,0.05167602667602667
ChInvIA,0.004878589256400247,0.0017442459459738838,False,0.05167602667602667
RevenueSurprise,0.004943943151855265,0.000135729470905018,False,0.05167602667602667
BidAskSpread,0.01503076081173521,0.009944612699490292,True,0.05167602667602667
RDS,0.004551082756058799,0.00330783861741397,False,0.05167602667602667
RD,0.015799695275487163,0.0022015234858997514,False,0.05167602667602667
cfp,0.011809152888171451,0.010434415556805295,False,0.05167602667602667
PriceDelayRsq,0.011084015320762199,0.02932594001148043,False,0.05167602667602667
Mom6m,0.014046867058789905,0.003911425859854187,False,0.05167602667602667
grcapx3y,0.005371377882617733,0.0074820651238602974,False,0.05167602667602667
Mom12mOffSeason,0.012306969078650096,0.01704083440478094,False,0.05167602667602667
ChNWC,0.00461982446566944,0.0012557994003131539,False,0.05167602667602667
PctTotAcc,0.007836971078441756,0.003256574050248497,False,0.05167602667602667
NetDebtFinance,0.006833661176314084,0.028329703393105216,False,0.05167602667602667
MomOffSeason06YrPlus,0.005668680644189175,0.001417346810548792,False,0.05167602667602667
ChEQ,0.007990856836767932,0.004751129354263146,False,0.05167602667602667
BPEBM,0.01159315518676657,0.0012494796090093616,False,0.05167602667602667
DelEqu,0.01019887832058807,0.020244894331444403,False,0.05167602667602667
ShareIss5Y,0.005386138738235765,0.016230500838703428,False,0.05167602667602667
OPLeverage,0.007821455516114195,0.008067249949288506,False,0.05167602667602667
TotalAccruals,0.008453282214199654,0.0023453806013125273,False,0.05167602667602667
IndRetBig,0.013519038200957722,0.03447716207312097,False,0.05167602667602667
AssetGrowth,0.011654710803604498,0.014476361942673507,True,0.05167602667602667
HerfBE,0.009696825305435974,0.0024470472946548404,False,0.05167602667602667
ReturnSkew,0.010355908390178142,0.0010239154360985542,False,0.05167602667602667
Mom12m,0.01254637449758627,0.0054743011511879745,True,0.05167602667602667
Leverage,0.010913946994823238,0.0021137854988389567,False,0.05167602667602667
MomSeason11YrPlus,0.006266992191089452,0.005732487960435105,False,0.05167602667602667
ChNNCOA,0.004239010812643025,0.0021212489638404884,False,0.05167602667602667
hire,0.008796322433960068,0.010180124693061387,False,0.05167602667602667
AbnormalAccruals,0.006151904330595074,0.0007499058058787494,False,0.05167602667602667
CF,0.016706535617593485,0.0032985916830833026,False,0.05167602667602667
ChAssetTurnover,0.003739729431285701,0.0015291532422374915,False,0.05167602667602667
AM,0.013069654972195881,0.0009667935688176641,False,0.05167602667602667
MaxRet,0.010176703445987109,0.02134949667190552,False,0.05167602667602667
RealizedVol,0.011024078904000067,0.02517854651852451,False,0.05167602667602667
IdioVolAHT,0.011787166072983855,0.011738742338711645,False,0.05167602667602667
zerotrade1M,0.00968199881045984,0.01417817336009804,False,0.05167602667602667
VolSD,0.008114315047673218,5.502783990882638e-06,False,0.05167602667602667
IntanSP,0.006929590027268478,0.00024615629565774024,False,0.05167602667602667
zerotrade12M,0.008475702255964234,0.000801096010879461,True,0.05167602667602667
IdioVol3F,0.01001919379588648,0.02862729957343844,True,0.05167602667602667
NetEquityFinance,0.005508718230328597,0.012496712472807429,False,0.05167602667602667
EBM,0.00767787752196463,1.4944564766573515e-05,False,0.05167602667602667
BetaTailRisk,0.004514434110890278,0.006711247699411268,False,0.05167602667602667
NetDebtPrice,0.010110193481949114,0.0031025769932250245,False,0.05167602667602667
PctAcc,0.004925850601080324,0.002270732510486926,False,0.05167602667602667
LRreversal,0.009108445688110286,0.0029836168861159906,False,0.05167602667602667
zerotrade6M,0.009590347982743663,8.369352757969172e-09,False,0.05167602667602667
Cash,0.010338251576307229,0.0042936812780624695,False,0.05167602667602667
GP,0.007261896438205126,0.02153767872789994,True,0.05167602667602667
ChTax,0.011377297853427991,0.005368617002462867,False,0.05167602667602667
MomSeason06YrPlus,0.0035301311693798666,0.03499216128119692,False,0.05167602667602667
MomSeasonShort,0.005216094963081192,0.0003170905112948853,False,0.05167602667602667
XFIN,0.00960185510857045,0.021347582221548658,False,0.05167602667602667
Beta,0.007407355127719046,0.00037880389973279617,True,0.05167602667602667
CBOperProf,0.005403726480832676,0.05144212373265055,False,0.05167602667602667
BookLeverage,0.004950823892300358,0.013908994525566038,False,0.05167602667602667
std_turn,0.0069772768827983354,0.043331224112402825,False,0.05167602667602667
grcapx,0.0033127995915352513,0.0020559067836401976,False,0.05167602667602667
NOA,0.0067966157764376665,0.02301141804953759,False,0.05167602667602667
DelCOL,0.0036413965931311495,0.00011968090791623517,False,0.05167602667602667
Herf,0.010418235201288881,0.00017212010061147965,False,0.05167602667602667
BetaLiquidityPS,0.0034154728290556077,0.002745727310577422,False,0.05167602667602667
EquityDuration,0.007084642418186734,0.0004380023979258874,False,0.05167602667602667
CashProd,0.014011662623947782,0.003658414477495019,False,0.05167602667602667
CoskewACX,0.006313305924783569,0.013699576198316254,False,0.05167602667602667
RoE,0.009130206628177696,0.007092513868711237,True,0.05167602667602667
ExclExp,0.012247302865354075,0.0017584592051877936,False,0.05167602667602667
roaq,0.009426027318356784,0.011842157266405712,False,0.05167602667602667
InvestPPEInv,0.0045919141659737026,0.013921044694437045,False,0.05167602667602667
betaVIX,0.0056131310413675296,0.004712688831192711,False,0.05167602667602667
ShareIss1Y,0.006380840195701059,0.020321132847464597,False,0.05167602667602667
EarningsSurprise,0.004839635909656432,0.0012780996484322987,False,0.05167602667602667
ReturnSkew3F,0.0069028092544357305,0.0006154792506916953,False,0.05167602667602667
AnnouncementReturn,0.006470812536016011,0.0415060322875561,True,0.05167602667602667
IntMom,0.007899718819323097,0.007433602398303003,False,0.05167602667602667
ChInv,0.014008250778983228,0.010862047373659398,False,0.05167602667602667
TrendFactor,0.006307028054904442,0.02743875861198036,False,0.05167602667602667
MomSeason,0.005525342909849669,0.007009959726172566,False,0.05167602667602667
IndMom,0.013307510898526347,0.0027444638409079222,False,0.05167602667602667
MomOffSeason,0.008398858670310313,0.007875954224317834,False,0.05167602667602667
EarnSupBig,0.010425052865654386,9.278541230890312e-05,False,0.05167602667602667
EntMult,0.006831276983904137,0.00022952868123742232,False,0.05167602667602667
FEPS,0.009028028174269164,0.0034414742624107823,False,0.05167602667602667
IntanCFP,0.00461073812404114,0.002305676075733288,False,0.05167602667602667
EP,0.0021882834390699493,0.001268370331591988,True,0.05167602667602667
NetPayoutYield,0.003625036104750418,0.015567146430738607,False,0.05167602667602667
EarningsStreak,0.005236136774924926,0.009301510603692179,False,0.05167602667602667
IntanEP,0.0036495059257899256,0.0010234533451627175,False,0.05167602667602667
Investment,0.003581720529697237,0.013571444410677815,False,0.05167602667602667
REV6,0.006179705598970909,0.005754583600967102,False,0.05167602667602667
IntanBM,0.00339686168929291,5.066295733085226e-05,False,0.05167602667602667
ForecastDispersion,0.0023599006309575556,0.019554561134345904,False,0.05167602667602667
