yyyymm,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,search_space,n_random_search
200205,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200206,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200207,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200208,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200209,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200210,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200211,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200212,1000,4,0.01,0.8,0.3,100,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200301,300,3,0.05,0.8,0.3,10,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200302,300,3,0.05,0.8,0.3,10,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
200303,300,3,0.05,0.8,0.3,10,0.0,0.1,"{'max_depth': [2, 3, 4], 'learning_rate': [0.001, 0.01, 0.05], 'n_estimators': [300, 500, 1000], 'min_child_weight': [10, 50, 100]}",108
