yyyymm,Q1_cs,Q1_zero,Q2_cs,Q2_zero,Q3_cs,Q3_zero,Q4_cs,Q4_zero,Q5_cs,Q5_zero,Full_cs,Full_zero
200001,0.00968400421365656,0.04224292026967169,-0.03515036888042289,0.033016502504303324,-0.05141746300895145,0.020581614920451408,-0.07552128516802536,0.027969148734190874,-0.12243999154686036,0.024463767175359474,-0.0478926374910833,0.030304224410324987
200002,0.014028848884202416,0.012405967992560107,0.023139794760832277,0.021708332301430655,0.014007406245742038,0.012284130012628958,0.017171371765309584,0.016845285271238075,0.005382189643185709,0.012032782205566694,0.013960161532314164,0.014486270604468499
200003,-0.021245901379810084,-0.04263722255182567,-0.21218189303984358,-0.022684593924503282,-0.2868920863597475,0.001852132400421591,-0.32695657982043635,0.008032099572271911,-0.3242730680280117,6.655071685701675e-05,-0.2201018570043103,-0.010258705588341632
200004,-0.08692800088593988,-0.04411021991076525,-0.12237192490637683,0.015843565189484266,-0.1279896002039922,0.026409582868071713,-0.11890872457846191,0.03625278124385911,-0.10968567537753349,0.017145584303867478,-0.10972460001677731,0.006576843200471472
200005,0.0514367187018645,0.0395934916987285,-0.0641789872273073,0.005513030064253077,-0.13027466589552006,-0.010871140003487545,-0.15218533628913167,-0.024275644448816136,-0.13671128026342405,-0.012043424615917342,-0.09002250762989927,-0.0032163147577632945
200006,0.000870474385949005,0.003419094928780897,0.004457889472402332,0.015494013128543038,0.009453483726597378,0.011942265778908556,-0.016900837944254343,0.017358253356336117,-0.06425422524592439,0.0020991900184543777,-0.009331723306121864,0.008686338883297506
200007,0.01812371199246099,0.024820415820019925,-0.021184265834337745,0.007957691174682036,-0.0816438555535215,0.0038240619347245097,-0.0956050224787901,0.010541087828757956,-0.1870105733595253,0.00959084018870393,-0.047397643411300816,0.01492399056632232
200008,-0.008610195180162927,0.008763057449098666,-0.05721999716358117,0.021971794281545387,-0.06218007574384665,0.01117960308322452,-0.057088098734015436,0.017586401147197117,-0.07894527874166535,0.01417342380847142,-0.044374071624549316,0.013632079044177292
200009,-0.1928316251387432,-0.03443633852276995,-0.14960487642454678,0.0035153901462370296,-0.12932550082179284,0.017105045116078577,-0.13926652669178674,0.012224413411008328,-0.07774521294028847,0.0030573954937764825,-0.14951983406173297,-0.005722515659559058
200010,-0.27631243626457413,-0.028778490126154743,-0.26098610624060714,0.022179631011562506,-0.29952810077106595,0.03266851677010907,-0.3763326214226512,0.024774078709729586,-0.5703122878619944,0.0024565911189896594,-0.3328064572779148,0.004325976919093089
200011,-0.03685152335519404,-0.016079998098983195,0.0213292463114918,0.029201975914562306,0.05061084812891292,0.04157968200449158,0.057768287370340565,0.029771942031323162,0.05778970984876397,0.028923338449056257,0.007355364352245597,0.009920545098379363
200012,-0.1844328560363957,0.06165912225027392,-0.2933604012281221,0.016816906067679382,-0.26978145233678474,-0.005205147568317692,-0.04067536276905215,-0.014511638190482845,0.17742607667931198,-0.01926771860542087,-0.18858480163937963,0.03823117042166757
200101,-0.01534776893228984,0.01973571581787148,-0.10264275148316826,0.03739469670142859,-0.19181300262482592,0.06258482143559774,-0.2535035597279951,0.044202233818158576,-0.3177356924476542,0.02536652940511308,-0.12290505774502059,0.033681685314379206
200102,-0.1025857615397483,-0.01548519359166245,-0.18611121226126737,-0.007657939159386062,-0.19717343508393048,-0.0026255912791006697,-0.24621454431239864,-0.02095871885889511,-0.48848085806638375,-0.08712847210125685,-0.173578923826758,-0.01960054818886836
200103,0.06935052408429532,0.0861856756279441,0.012448145937044353,0.08819872784156335,-0.07482020782060173,0.06340880997605514,-0.1437412921592236,0.05899823208242205,-0.22089382161759952,0.05320364716199,-0.008962608011420459,0.07646659832656633
200104,0.008520093630508208,0.08476001825913904,-0.013218640679274696,0.08654847286449041,-0.032604844283997014,0.07457821024274924,-0.011823005119561136,0.02579738720357516,0.2104052745658339,0.01637511540137604,0.007473417333450527,0.07783199702127619
200105,-0.047375127103719716,-0.04868830527567547,-0.022866635191492346,-0.020019362620551373,-0.007051132516276981,-0.0021411994560462944,0.0020349082888247993,0.007771078858077929,0.019793782900720536,0.010788700174804267,-0.026642826667872876,-0.02600174513555853
200106,-0.07380959027828737,-0.07544968518000061,-0.07742712069795332,-0.038233732716747015,-0.05376670879584533,0.012276558805353721,-0.10201217929969753,-0.014355018047310208,-0.14212923603390015,-0.03388322208755423,-0.07880372479008635,-0.047641366137924024
