quintile,pooled_r2_zero,pooled_r2_cs,pooled_r2_hist,avg_monthly_r2_zero,avg_monthly_r2_cs,avg_monthly_r2_hist,avg_n_month
1,0.005712671899831712,-0.05784369751680929,0.04297026557811057,-0.006041230688079806,-0.06717639942080182,0.022803518179749686,2438.47491638796
2,-0.0015523071139151856,-0.1308336683331135,0.06788624208123406,-0.00826473184115066,-0.13837527179535178,0.03957785437485596,1262.1939799331103
3,-0.0015830172037525347,-0.17586552666332156,0.09999092718278846,-0.005315806234039357,-0.1765114620412505,0.05103889583448954,1050.7959866220735
4,-0.0012379418038397372,-0.20286399449174541,0.16972838894896214,-0.005616470902567864,-0.2097451016311678,0.05825769867230391,833.1170568561873
5,-0.0014389935798022613,-0.1989583564557067,0.29196057198764147,-0.006452473996774021,-0.22373757851241188,0.06878437194271163,742.9230769230769
Full,0.002477164125012199,-0.10302084104098252,0.08368685740083148,,,,6336.0
