yyyymm,r2_std_cs,r2_wtd_cs,r2_std_zero,r2_wtd_zero
200001,-0.03557884382231569,-0.13154532843367317,0.0416991262112153,0.048839669534732844
200002,0.01527763789015113,0.011888598225858749,0.0158030440127519,0.015047081821036534
200003,-0.2523189117014668,-0.4795075051910036,-0.03693480626745327,-0.051894661819003485
200004,-0.09964302354045773,-0.3659532033623991,0.015601849520480826,-0.023109069775224977
200005,-0.09252688212158144,-0.17307807585738932,-0.00552124821623079,0.00699736490833569
200006,-0.015046652383107872,-0.08717873099045859,0.003073429732109445,-0.014048234217257649
200007,-0.04118657434632089,-0.23386498935704703,0.020765492279960274,0.04507401942135103
200008,-0.048844249520900496,-0.2303107660674566,0.009410181739634038,-0.043768744617394884
200009,-0.14694148987039313,-0.31450654772021935,-0.003466705251148783,-0.06147446431351611
200010,-0.3245097751927073,-0.9560882038992362,0.010524019241662352,-0.04053513865238911
200011,0.02041493560319607,-0.021599114681715825,0.02294636795688132,-0.02011817580773312
200012,-0.16048786551451721,0.14070352174264578,0.06096640759975891,0.007935006417879142
200101,-0.11291671704255557,-0.4613613246294961,0.042277172962724596,-0.0020038206421306715
200102,-0.17014837663841553,-0.6401122093622538,-0.01662010288365079,-0.10980613137700845
200103,-0.005760989695256846,-0.30956291952783155,0.07939713453366526,0.055631548839725764
200104,0.01032548610295625,0.30361117780593483,0.08048188731889128,0.014908567770653414
200105,-0.03990722971468341,0.025864248791641176,-0.03925786529799158,0.013705912541991383
200106,-0.0818946488145691,-0.19201865820772324,-0.050643005632882154,-0.039046770904155315
200107,-0.05629780246611649,-0.3294124493741166,-0.0143825663951338,-0.0010285973105115254
200108,-0.5648798139989912,-1.0884519356378375,-0.059036859101315065,-0.05670666014691084
200109,-0.012893077070702974,-0.12975455320481277,0.06094093757675745,0.055339473802628825
200110,-0.06769396201905109,-0.4436350973559102,0.05529351074808109,0.029556622928002763
200111,-0.05625520762734615,0.20227241409619878,0.023836358926809242,0.14562875813032916
200112,0.04050000968751699,0.06336600783059732,0.04719569268866963,0.005166896724531078
200201,-0.19839107639861786,-0.21980982069244082,-0.1465361384969457,-0.01576974241478135
200202,-0.10588598641116387,-0.3643372374013927,0.047575210541111246,0.004200511062319112
200203,-0.016956631073909323,-0.023398926743942505,-0.016289225976283683,0.007957279052551947
200204,-0.03847771893660634,-0.09488324617342148,-0.028680043978761782,-0.015540785868047635
200205,-0.3970413608479608,-0.589687982999318,-0.17212577164070786,-0.02200812264981744
200206,-0.4076537351430478,-0.5278569413975014,0.003987675648989164,-0.03341253016433998
200207,0.00904471904401738,-0.038612498978837895,0.00971997603985475,-0.041062447543852354
200208,-0.34644554863506416,-1.028730048763642,-0.06868864465185198,-0.023380897570310033
200209,-0.013878256581807413,-0.23528460697051568,0.016462085993813602,0.007978770677364189
200210,-0.09996410228797958,-0.36017274208514505,0.06124567976129425,-0.028617807665776818
200211,-0.1317639525448846,-0.46719224330370057,-0.06151489475413685,-0.028070516267642454
200212,0.023899933993108413,-0.01630032334423115,0.024649516544865357,-0.04197928811778384
200301,-0.0594773842927776,0.016994086642561745,-0.03120803641051384,-0.00513954446428766
200302,0.028276260928085106,-0.0122680446782375,0.030963811606827707,-0.0030352104757833676
200303,-0.16178754675648954,-0.6193294447571844,0.06984862854131013,0.09512920453373064
200304,-0.21657065884987103,-0.4166944888015449,0.046789832315305646,-0.007328156908646077
200305,-0.028905283720478847,0.12068392519191784,0.038166343629075006,0.008675543561881383
200306,-0.11027489581100736,-0.051253444203196885,0.01051078068478195,0.009239871211603634
200307,-0.12203452905803802,-0.2951781730631353,-0.01390454844901523,-0.04409115046130441
200308,-0.006617126973496923,0.13443471222670977,0.017578756645973415,-0.05716778468056183
200309,-0.23527448718383126,-0.5297117648199101,-0.013191234772578442,0.007784405593592725
200310,-0.052904781246866595,0.04216159326917335,0.015288700659757404,0.021665185522955044
200311,-0.07528184469548882,-0.09607218661627148,-0.0032145048724281367,-0.0010831170020426661
200312,-0.10548585215255701,0.08427244407426737,0.0328826361598209,0.0069061541625241585
200401,-0.010084184208423386,-0.017219408699580496,-0.0020430664723232184,-0.008061238687340433
200402,0.00678654269054535,-0.013404843002505995,0.008112139662524442,-0.034301682768401065
200403,-0.15300489296268505,-0.2519957221388871,-0.02665971430809244,-0.04577566553338919
200404,-0.018713754575727437,0.004088527707534317,-0.01844797464946235,0.0174093483446337
200405,-0.02961315353266003,-0.051692076144243204,0.011420272173940704,0.04662507479562272
200406,-0.2138688160754736,-0.49263405354040035,-0.03373574620908992,-0.034703013051346154
200407,-0.013555522271518017,-0.05343653490253519,-0.010909065520181782,-0.026615475861596183
200408,-0.11221076762036364,-0.18962180871624001,0.0010955820938022276,0.019595369010158348
200409,-0.03260707943187824,-0.0671456801378032,-0.0054915727979474305,0.018469303775650814
200410,-0.11941656941665713,-0.24418773781215863,0.0640390569380963,0.0834085830281367
200411,-0.036439575669781066,-0.062400313996597845,0.07707497014070885,0.09576113083599391
200412,-0.18278116954488488,-0.33550319779586046,-0.1013516534370027,-0.10255143050108817
200501,-0.01591698410417286,-0.009174273352055673,0.0008631978164233001,0.03035651102086112
200502,-0.1448945015586165,-0.2363563921875962,-0.06663555424037182,-0.11353418557821682
200503,-0.3345443363296827,-0.30394874050464904,-0.11958971684117548,-0.11889136843197323
200504,-0.0547527741564402,-0.289018113861887,0.04331582021741254,0.09857961181691055
200505,-0.021570172466601978,0.07566541132189175,0.03937851599798137,0.04219939157111441
200506,-0.13950796274017851,-0.2786705377067764,0.049037010908655976,0.09261255427498105
200507,-0.025183404251739594,-0.03281587044450074,-0.018292641266116405,-0.02469024518540386
200508,0.0020006428269493393,0.0034549587597206832,0.006487210600292004,0.018907683529811647
200509,-0.1830167852232336,-0.1931094035062475,-0.06078078877744697,-0.08141904837701519
200510,-0.0322660268659134,-0.1808933356052147,0.028684866235506812,0.0965339210594307
200511,0.004521866922953532,0.002525151570099915,0.012638479985320417,0.004749611884143579
200512,-0.1677373746309121,-0.15483399919078278,0.06489327444632109,0.08487975081418175
200601,-0.004250623083149829,-0.0900675447726087,-0.00407013194165895,-0.10199223043994454
200602,-0.034343720397907784,-0.02291122318161598,0.04086954659152153,0.06727235036436163
200603,0.003981284420145892,0.011894511631873161,0.006813124453151187,0.03295988642784731
200604,-0.30502050587558216,-0.7762324008832051,-0.08556345064388426,-0.13423775337706778
200605,-0.04891723221733857,-0.03129041125215393,-0.034197806010416665,-0.0389005931834594
200606,-0.1198963618155997,-0.13202462846347296,-0.052709425085996076,-0.062222674971597725
200607,-0.014561537541874614,-0.026228644258410982,0.017011184877427588,0.021529865023868333
200608,-0.005704031418648725,0.015242239694974291,-0.0033746173865838447,0.04262229092832959
200609,-0.06324783438184656,-0.17981454054736035,0.04380955122289509,0.08565924301181671
200610,-0.016549944903476943,-0.09806201965448946,0.022644366064658916,0.07485244405625036
200611,0.00012577405480140857,0.012785585143142542,0.009589290344611645,-0.03409187329920882
200612,-0.004490396300321997,-0.0330932516133593,0.022766922639673615,0.03304042709928334
200701,-0.005227706922342534,-0.11510979247356534,-0.004978309140193593,-0.10080059111758044
200702,-0.00931377769700048,0.006770693228124514,-0.008815607726165853,0.01250898554631108
200703,-0.011262476753113537,-0.13243031141935502,0.03179207627443936,0.10746826572884993
200704,-0.01136619472830147,-0.07846238330229793,0.015061455517824118,0.07821481758768256
200705,-0.04016960030543193,-0.0991476089799721,-0.024788899484198712,-0.0638050134743966
200706,-0.2591297163519215,-0.21767264612798187,-0.06792806148460051,-0.08878702651212156
200707,-0.03625109345013411,0.08392284747302936,-0.019917236805503835,0.005653087068318241
200708,-0.018598096215247217,-0.1316086076501788,0.013009672924760074,0.06412218326304686
200709,0.005274632555840486,-0.022401357950848855,0.013605507346873491,0.03624567441632942
200710,-0.49467542007354703,-0.5807734049703037,-0.08500307663169204,-0.10804357439263601
200711,-0.03252575235808175,-0.036161727563879476,-0.02144528517151878,-0.026691641720109516
200712,-0.14064879837817634,-0.43270711414664986,-0.042861156316880145,-0.08297002430293232
200801,-0.04993926073953059,-0.1318929998806948,-0.02251773146598124,-0.0513409453658058
200802,-0.08031616096273209,-0.06103782397528579,-0.0354805290223299,-0.04074880257481461
200803,-0.017866627122322898,-0.14151214582467175,0.019526063070794852,0.06839196276505377
200804,-0.014574894435188446,-0.018466212270505045,0.024171250932863875,0.0441416997869335
200805,-0.43404455094423966,-0.5005013154778086,-0.059586736132775986,-0.07138246114404301
200806,-0.003605151196091283,-0.03633984201454732,-0.003404057740891142,-0.02963152930488766
200807,-0.0016269479177473123,0.011212388468379908,0.005493576516881538,-0.010458601253960698
200808,-0.6491216802269981,-0.7283463665508425,-0.05030090735914872,-0.04815690359167801
200809,-1.190678013477044,-1.1880695544164315,-0.03927898969259469,-0.041354821779006956
200810,-0.474640844455132,-0.6510313817316502,-0.03649088660540123,-0.061348742307844706
200811,-0.017758798611874127,-0.002871340615707707,0.008531976639959526,0.015891426626395977
200812,-0.005548436162846615,-0.17783217634115256,-0.00015632571660884054,-0.049887831940666594
200901,-0.30431540254063627,-0.5519214136496915,0.02727577732482378,0.0008824476004060111
200902,-0.11050681764925652,-0.7217010795455214,0.0032123823207621527,-0.06870781722650032
200903,-0.3627877121574141,-0.5142127390014188,0.034616756012865735,0.003691945964897636
200904,-0.11797275352528969,-0.4707408322704527,0.0009080465990041198,-0.07861278249474934
200905,-0.011219192591588989,0.10159947049999829,0.007168530842038945,-0.004498924976051644
200906,-0.21219979832316782,-0.6213927719220833,0.009120176396803403,0.03788951347594971
200907,-0.031508081284651324,-0.06612328385174093,0.0341715624365837,0.024117818069890773
200908,-0.1803044447007509,-0.15543589426655258,0.00468263102065003,0.05303484648723322
200909,-0.19388451712030297,-0.3596069015785306,-0.02023467811147106,-0.06081298543261937
200910,-0.04284247826945786,-0.2696960402797477,-0.018014971730307527,0.024735226810752686
200911,-0.1328154525001115,-0.1058277772191667,0.003074180483657929,-0.02216914704335271
200912,0.02643757404979752,-0.08472011656792144,0.030145152616121718,0.009596546100073766
201001,-0.07375810857114717,-0.2786978501582196,0.01725897228297435,0.05692435141754271
201002,-0.1420887044723469,-0.8309523718811962,0.04371507800807417,0.016264857665257537
201003,-0.10952895537914875,0.11098436182454197,0.03366261652418079,-0.011264595962185764
201004,-0.7006793171409154,-1.6539535956661937,-0.09007247628657034,-0.10092918577249366
201005,-0.4563565385684012,-0.9144621750949578,-0.13614155023450447,-0.07980308058519836
201006,-0.20618642507310758,-0.7262222456592837,0.021936251630554127,-0.013258142313375965
201007,-0.8747618505514314,-0.8121538001806505,-0.6252945876519718,-0.3407594691111524
201008,-0.4181629876147641,-1.5446682409035613,0.07498741979875079,0.08169351459135266
201009,-0.09253895454292382,-0.26193923299817734,0.0077503583278765165,0.04372003208021835
201010,-0.016314332718791125,0.010802740462298566,-0.005912735116428536,0.03381062415043856
201011,-0.16400097962922255,-0.547560573499601,0.07299733967348276,0.07755709304105518
201012,0.032780674003868415,-0.11047982502165432,0.044827000690848995,-0.05012928181290244
201101,-0.05478572236871404,-0.15865926502263927,0.016733567933589044,0.053593589437369804
201102,-0.0031420336325611586,0.003970632277983999,0.001769406312697952,0.000910895556886393
201103,-0.01952984160613691,-0.07701303117966951,0.005694241414421541,0.04342219149519311
201104,-0.05359900311259769,-0.11973692324819307,-0.02549635423192309,-0.05199137695952549
201105,-0.08685364256810368,-0.2620445028155325,-0.031744282016561653,-0.08697247947613107
201106,-0.057926856459108444,-0.07811167007201925,-0.013775933806818186,-0.03589377663236326
201107,-0.5316365926983448,-0.6780811417177217,-0.06279816471371058,-0.07360517391502919
201108,-0.7974511112015832,-1.0458176009166675,-0.04731359774531252,-0.04842367755557753
201109,-0.45643086741209693,-1.1624679884500893,0.04162576135213458,0.05549327559325701
201110,-0.047244438513269094,-0.10677887318586743,-0.02431556667569512,-0.04499832733396425
201111,-0.011868153996853259,-0.033809952708948376,-0.011504553130449624,-0.028784611722406206
201112,-0.2539240648921721,-0.39039849531621296,0.06420030769675278,0.07288165786273582
