model,r2_q45_pct,r2_q4_pct,r2_q5_pct,r2_full_pct
Mall,-0.13239043755095548,-0.12379418038397372,-0.14389935798022613,0.2477164125012199
MQ2+,-0.6844337003756973,-0.6214892341659173,-0.7687055920839292,-1.34541863371489
MQ3+,-0.7326468298926914,-0.78834472588456,-0.6580768582646668,-2.131746084506503
MQ4+,-1.5312051796673387,-1.7810481154126867,-1.1967081524778767,-3.3229440004547195
MQ5+,-2.62430719683866,-3.1625747478599253,-1.9036588618675854,-4.753714809289211
